partsid,datalink,parents_partsid,totalcfp
P00175,postgresA,P00058,0.0
P00176,postgresC,P00059,0.0
P00177,postgresA,P00059,0.0
P00178,postgresB,P00059,0.0
P00179,postgresB,P00060,0.0
P00180,postgresB,P00060,0.0
P00181,postgresB,P00060,0.0
P00182,postgresC,P00061,0.0
P00183,postgresB,P00061,0.0
P00184,postgresC,P00061,0.0
P00185,postgresC,P00062,0.0
P00186,postgresB,P00062,0.0
P00187,postgresC,P00062,0.0
P00188,postgresA,P00063,0.0
P00189,postgresA,P00063,0.0
P00190,postgresC,P00063,0.0
P00191,postgresB,P00064,0.0
P00192,postgresC,P00064,0.0
P00193,postgresC,P00064,0.0
P00194,postgresB,P00065,0.0
P00195,postgresA,P00065,0.0
P00196,postgresB,P00065,0.0
P00197,postgresC,P00066,0.0
P00198,postgresB,P00066,0.0
P00199,postgresA,P00066,0.0
P00200,postgresA,P00067,0.0
P00201,postgresA,P00067,0.0
P00202,postgresC,P00067,0.0
P00203,postgresB,P00068,0.0
P00204,postgresC,P00068,0.0
P00205,postgresA,P00068,0.0
P00206,postgresA,P00069,0.0
P00207,postgresB,P00069,0.0
P00208,postgresA,P00069,0.0
P00209,postgresC,P00070,0.0
P00210,postgresA,P00070,0.0
P00211,postgresA,P00070,0.0
P00212,postgresC,P00071,0.0
P00213,postgresA,P00071,0.0
P00214,postgresB,P00071,0.0
P00215,postgresC,P00072,0.0
P00216,postgresB,P00072,0.0
P00217,postgresB,P00072,0.0
P00218,postgresB,P00073,0.0
P00219,postgresB,P00073,0.0
P00220,postgresA,P00073,0.0
P00221,postgresA,P00074,0.0
P00222,postgresA,P00074,0.0
P00223,postgresA,P00074,0.0
P00224,postgresA,P00075,0.0
P00225,postgresA,P00075,0.0
P00226,postgresC,P00075,0.0
P00227,postgresA,P00076,0.0
P00228,postgresC,P00076,0.0
P00229,postgresC,P00076,0.0
P00230,postgresA,P00077,0.0
P00231,postgresC,P00077,0.0
P00232,postgresA,P00077,0.0
P00233,postgresA,P00078,0.0
P00234,postgresC,P00078,0.0
P00235,postgresB,P00078,0.0
P00236,postgresB,P00079,0.0
P00237,postgresB,P00079,0.0
P00238,postgresB,P00079,0.0
P00239,postgresC,P00080,0.0
P00240,postgresC,P00080,0.0
P00241,postgresC,P00080,0.0
P00242,postgresC,P00081,0.0
P00243,postgresA,P00081,0.0
P00244,postgresB,P00081,0.0
P00245,postgresA,P00082,0.0
P00246,postgresB,P00082,0.0
P00247,postgresC,P00082,0.0
P00248,postgresA,P00083,0.0
P00249,postgresA,P00083,0.0
P00250,postgresB,P00083,0.0
P00251,postgresA,P00084,0.0
P00252,postgresA,P00084,0.0
P00253,postgresB,P00084,0.0
P00254,postgresC,P00085,0.0
P00255,postgresB,P00085,0.0
P00256,postgresA,P00085,0.0
P00257,postgresA,P00086,0.0
P00258,postgresA,P00086,0.0
P00259,postgresA,P00086,0.0
P00260,postgresB,P00087,0.0
P00261,postgresB,P00087,0.0
P00262,postgresA,P00087,0.0
P00263,postgresB,P00088,0.0
P00264,postgresB,P00088,0.0
P00265,postgresC,P00088,0.0
P00266,postgresA,P00089,0.0
P00267,postgresC,P00089,0.0
P00268,postgresB,P00089,0.0
P00269,postgresA,P00090,0.0
P00270,postgresC,P00090,0.0
P00271,postgresC,P00090,0.0
P00272,postgresB,P00091,0.0
P00273,postgresB,P00091,0.0
P00274,postgresC,P00091,0.0
P00275,postgresA,P00092,0.0
P00276,postgresC,P00092,0.0
P00277,postgresA,P00092,0.0
P00278,postgresC,P00093,0.0
P00279,postgresA,P00093,0.0
P00280,postgresB,P00093,0.0
P00281,postgresC,P00094,0.0
P00282,postgresC,P00094,0.0
P00283,postgresC,P00094,0.0
P00284,postgresB,P00095,0.0
P00285,postgresB,P00095,0.0
P00286,postgresB,P00095,0.0
P00287,postgresA,P00096,0.0
P00288,postgresA,P00096,0.0
P00289,postgresC,P00096,0.0
P00290,postgresA,P00097,0.0
P00291,postgresA,P00097,0.0
P00292,postgresB,P00097,0.0
P00293,postgresC,P00098,0.0
P00294,postgresC,P00098,0.0
P00295,postgresC,P00098,0.0
P00296,postgresA,P00099,0.0
P00297,postgresC,P00099,0.0
P00298,postgresB,P00099,0.0
P00299,postgresA,P00100,0.0
P00300,postgresB,P00100,0.0
P00301,postgresA,P00100,0.0
P00302,postgresC,P00101,0.0
P00303,postgresB,P00101,0.0
P00304,postgresA,P00101,0.0
P00305,postgresB,P00102,0.0
P00306,postgresB,P00102,0.0
P00307,postgresB,P00102,0.0
P00308,postgresA,P00103,0.0
P00309,postgresC,P00103,0.0
P00310,postgresB,P00103,0.0
P00311,postgresB,P00104,0.0
P00312,postgresC,P00104,0.0
P00313,postgresB,P00104,0.0
P00314,postgresC,P00105,0.0
P00315,postgresA,P00105,0.0
P00316,postgresB,P00105,0.0
P00317,postgresB,P00106,0.0
P00318,postgresB,P00106,0.0
P00319,postgresC,P00106,0.0
P00320,postgresC,P00107,0.0
P00321,postgresC,P00107,0.0
P00322,postgresA,P00107,0.0
P00323,postgresC,P00108,0.0
P00324,postgresA,P00108,0.0
P00325,postgresA,P00108,0.0
P00326,postgresB,P00109,0.0
P00327,postgresC,P00109,0.0
P00328,postgresC,P00109,0.0
P00329,postgresC,P00110,0.0
P00330,postgresA,P00110,0.0
P00331,postgresC,P00110,0.0
P00332,postgresC,P00111,0.0
P00333,postgresB,P00111,0.0
P00334,postgresA,P00111,0.0
P00335,postgresC,P00112,0.0
P00336,postgresB,P00112,0.0
P00337,postgresB,P00112,0.0
P00338,postgresC,P00113,0.0
P00339,postgresC,P00113,0.0
P00340,postgresA,P00113,0.0
P00341,postgresC,P00114,0.0
P00342,postgresC,P00114,0.0
P00343,postgresB,P00114,0.0
P00344,postgresB,P00115,0.0
P00345,postgresA,P00115,0.0
P00346,postgresC,P00115,0.0
P00347,postgresC,P00116,0.0
P00348,postgresB,P00116,0.0
P00349,postgresA,P00116,0.0
P00350,postgresA,P00117,0.0
P00351,postgresB,P00117,0.0
P00352,postgresA,P00117,0.0
P00353,postgresC,P00118,0.0
P00354,postgresC,P00118,0.0
P00355,postgresB,P00118,0.0
P00356,postgresB,P00119,0.0
P00357,postgresA,P00119,0.0
P00358,postgresA,P00119,0.0
P00359,postgresA,P00120,0.0
P00360,postgresB,P00120,0.0
P00361,postgresA,P00120,0.0
P00362,postgresA,P00121,0.0
P00363,postgresB,P00121,0.0
P00364,postgresC,P00121,0.0
P00365,postgresB,P00122,0.0
P00366,postgresA,P00122,0.0
P00367,postgresB,P00122,0.0
P00368,postgresC,P00123,0.0
P00369,postgresC,P00123,0.0
P00370,postgresA,P00123,0.0
P00371,postgresA,P00124,0.0
P00372,postgresC,P00124,0.0
P00373,postgresA,P00124,0.0
P00374,postgresB,P00125,0.0
P00375,postgresC,P00125,0.0
P00376,postgresC,P00125,0.0
P00377,postgresB,P00126,0.0
P00378,postgresA,P00126,0.0
P00379,postgresA,P00126,0.0
P00380,postgresC,P00127,0.0
P00381,postgresA,P00127,0.0
P00382,postgresA,P00127,0.0
P00383,postgresC,P00128,0.0
P00384,postgresB,P00128,0.0
P00385,postgresA,P00128,0.0
P00386,postgresB,P00129,0.0
P00387,postgresB,P00129,0.0
P00388,postgresB,P00129,0.0
P00389,postgresA,P00130,0.0
P00390,postgresA,P00130,0.0
P00391,postgresC,P00130,0.0
P00392,postgresB,P00131,0.0
P00393,postgresC,P00131,0.0
P00394,postgresC,P00131,0.0
P00395,postgresA,P00132,0.0
P00396,postgresA,P00132,0.0
P00397,postgresB,P00132,0.0
P00398,postgresA,P00133,0.0
P00399,postgresA,P00133,0.0
P00400,postgresB,P00133,0.0
P00401,postgresA,P00134,0.0
P00402,postgresC,P00134,0.0
P00403,postgresC,P00134,0.0
P00404,postgresA,P00135,0.0
P00405,postgresB,P00135,0.0
P00406,postgresA,P00135,0.0
P00407,postgresC,P00136,0.0
P00408,postgresA,P00136,0.0
P00409,postgresA,P00136,0.0
P00410,postgresC,P00137,0.0
P00411,postgresB,P00137,0.0
P00412,postgresC,P00137,0.0
P00413,postgresC,P00138,0.0
P00414,postgresC,P00138,0.0
P00415,postgresC,P00138,0.0
P00416,postgresA,P00139,0.0
P00417,postgresA,P00139,0.0
P00418,postgresA,P00139,0.0
P00419,postgresC,P00140,0.0
P00420,postgresC,P00140,0.0
P00421,postgresB,P00140,0.0
P00422,postgresC,P00141,0.0
P00423,postgresA,P00141,0.0
P00424,postgresB,P00141,0.0
P00425,postgresA,P00142,0.0
P00426,postgresA,P00142,0.0
P00427,postgresA,P00142,0.0
P00428,postgresB,P00143,0.0
P00429,postgresC,P00143,0.0
P00430,postgresA,P00143,0.0
P00431,postgresA,P00144,0.0
P00432,postgresB,P00144,0.0
P00433,postgresB,P00144,0.0
P00434,postgresB,P00145,0.0
P00435,postgresC,P00145,0.0
P00436,postgresA,P00145,0.0
P00437,postgresC,P00146,0.0
P00438,postgresC,P00146,0.0
P00439,postgresA,P00146,0.0
P00440,postgresC,P00147,0.0
P00441,postgresC,P00147,0.0
P00442,postgresA,P00147,0.0
P00443,postgresC,P00148,0.0
P00444,postgresA,P00148,0.0
P00445,postgresC,P00148,0.0
P00446,postgresC,P00149,0.0
P00447,postgresB,P00149,0.0
P00448,postgresC,P00149,0.0
P00449,postgresC,P00150,0.0
P00450,postgresB,P00150,0.0
P00451,postgresB,P00150,0.0
P00452,postgresB,P00151,0.0
P00453,postgresC,P00151,0.0
P00454,postgresA,P00151,0.0
P00455,postgresA,P00152,0.0
P00456,postgresB,P00152,0.0
P00457,postgresB,P00152,0.0
P00458,postgresA,P00153,0.0
P00459,postgresB,P00153,0.0
P00460,postgresA,P00153,0.0
P00461,postgresA,P00154,0.0
P00462,postgresC,P00154,0.0
P00463,postgresC,P00154,0.0
P00464,postgresB,P00155,0.0
P00465,postgresA,P00155,0.0
P00466,postgresA,P00155,0.0
P00467,postgresA,P00156,0.0
P00468,postgresA,P00156,0.0
P00469,postgresC,P00156,0.0
P00470,postgresA,P00157,0.0
P00471,postgresA,P00157,0.0
P00472,postgresA,P00157,0.0
P00473,postgresB,P00158,0.0
P00474,postgresB,P00158,0.0
P00475,postgresA,P00158,0.0
P00476,postgresC,P00159,0.0
P00477,postgresC,P00159,0.0
P00478,postgresA,P00159,0.0
P00479,postgresA,P00160,0.0
P00480,postgresA,P00160,0.0
P00481,postgresC,P00160,0.0
P00482,postgresB,P00161,0.0
P00483,postgresB,P00161,0.0
P00484,postgresB,P00161,0.0
P00485,postgresA,P00162,0.0
P00486,postgresA,P00162,0.0
P00487,postgresA,P00162,0.0
P00488,postgresB,P00163,0.0
P00489,postgresB,P00163,0.0
P00490,postgresA,P00163,0.0
P00491,postgresC,P00164,0.0
P00492,postgresA,P00164,0.0
P00493,postgresB,P00164,0.0
P00494,postgresB,P00165,0.0
P00495,postgresA,P00165,0.0
P00496,postgresA,P00165,0.0
P00497,postgresB,P00166,0.0
P00498,postgresA,P00166,0.0
P00499,postgresC,P00166,0.0
P00500,postgresC,P00167,0.0
P00501,postgresC,P00167,0.0
P00502,postgresA,P00167,0.0
P00503,postgresC,P00168,0.0
P00504,postgresC,P00168,0.0
P00505,postgresC,P00168,0.0
P00506,postgresB,P00169,0.0
P00507,postgresC,P00169,0.0
P00508,postgresB,P00169,0.0
P00509,postgresC,P00170,0.0
P00510,postgresB,P00170,0.0
P00511,postgresA,P00170,0.0
P00512,postgresC,P00171,0.0
P00513,postgresC,P00171,0.0
P00514,postgresA,P00171,0.0
P00515,postgresB,P00172,0.0
P00516,postgresC,P00172,0.0
P00517,postgresC,P00172,0.0
P00518,postgresC,P00173,0.0
P00519,postgresA,P00173,0.0
P00520,postgresC,P00173,0.0
P00521,postgresB,P00174,0.0
P00522,postgresC,P00174,0.0
P00523,postgresC,P00174,0.0
P00524,postgresB,P00175,0.0
P00525,postgresA,P00175,0.0
P00526,postgresB,P00175,0.0
P00527,postgresA,P00176,0.0
P00528,postgresA,P00176,0.0
P00529,postgresC,P00176,0.0
P00530,postgresC,P00177,0.0
P00531,postgresC,P00177,0.0
P00532,postgresC,P00177,0.0
P00533,postgresC,P00178,0.0
P00534,postgresB,P00178,0.0
P00535,postgresC,P00178,0.0
P00536,postgresC,P00179,0.0
P00537,postgresC,P00179,0.0
P00538,postgresA,P00179,0.0
P00539,postgresB,P00180,0.0
P00540,postgresB,P00180,0.0
P00541,postgresA,P00180,0.0
P00542,postgresA,P00181,0.0
P00543,postgresB,P00181,0.0
P00544,postgresB,P00181,0.0
P00545,postgresB,P00182,0.0
P00546,postgresA,P00182,0.0
P00547,postgresC,P00182,0.0
P00548,postgresB,P00183,0.0
P00549,postgresC,P00183,0.0
P00550,postgresC,P00183,0.0
P00551,postgresA,P00184,0.0
P00552,postgresB,P00184,0.0
P00553,postgresB,P00184,0.0
P00554,postgresC,P00185,0.0
P00555,postgresB,P00185,0.0
P00556,postgresB,P00185,0.0
P00557,postgresA,P00186,0.0
P00558,postgresB,P00186,0.0
P00559,postgresC,P00186,0.0
P00560,postgresB,P00187,0.0
P00561,postgresB,P00187,0.0
P00562,postgresA,P00187,0.0
P00563,postgresA,P00188,0.0
P00564,postgresA,P00188,0.0
P00565,postgresC,P00188,0.0
P00566,postgresB,P00189,0.0
P00567,postgresC,P00189,0.0
P00568,postgresB,P00189,0.0
P00569,postgresA,P00190,0.0
P00570,postgresB,P00190,0.0
P00571,postgresB,P00190,0.0
P00572,postgresB,P00191,0.0
P00573,postgresB,P00191,0.0
P00574,postgresB,P00191,0.0
P00575,postgresC,P00192,0.0
P00576,postgresC,P00192,0.0
P00577,postgresB,P00192,0.0
P00578,postgresA,P00193,0.0
P00579,postgresA,P00193,0.0
P00580,postgresC,P00193,0.0
P00581,postgresC,P00194,0.0
P00582,postgresA,P00194,0.0
P00583,postgresB,P00194,0.0
P00584,postgresB,P00195,0.0
P00585,postgresA,P00195,0.0
P00586,postgresA,P00195,0.0
P00587,postgresA,P00196,0.0
P00588,postgresB,P00196,0.0
P00589,postgresB,P00196,0.0
P00590,postgresC,P00197,0.0
P00591,postgresC,P00197,0.0
P00592,postgresB,P00197,0.0
P00593,postgresC,P00198,0.0
P00594,postgresB,P00198,0.0
P00595,postgresB,P00198,0.0
P00596,postgresC,P00199,0.0
P00597,postgresB,P00199,0.0
P00598,postgresC,P00199,0.0
P00599,postgresB,P00200,0.0
P00600,postgresC,P00200,0.0
P00601,postgresC,P00200,0.0
P00602,postgresA,P00201,0.0
P00603,postgresB,P00201,0.0
P00604,postgresB,P00201,0.0
P00605,postgresB,P00202,0.0
P00606,postgresB,P00202,0.0
P00607,postgresC,P00202,0.0
P00608,postgresB,P00203,0.0
P00609,postgresA,P00203,0.0
P00610,postgresC,P00203,0.0
P00611,postgresC,P00204,0.0
P00612,postgresB,P00204,0.0
P00613,postgresC,P00204,0.0
P00614,postgresC,P00205,0.0
P00615,postgresC,P00205,0.0
P00616,postgresC,P00205,0.0
P00617,postgresA,P00206,0.0
P00618,postgresA,P00206,0.0
P00619,postgresC,P00206,0.0
P00620,postgresB,P00207,0.0
P00621,postgresA,P00207,0.0
P00622,postgresC,P00207,0.0
P00623,postgresA,P00208,0.0
P00624,postgresB,P00208,0.0
P00625,postgresC,P00208,0.0
P00626,postgresB,P00209,0.0
P00627,postgresA,P00209,0.0
P00628,postgresB,P00209,0.0
P00629,postgresA,P00210,0.0
P00630,postgresA,P00210,0.0
P00631,postgresA,P00210,0.0
P00632,postgresA,P00211,0.0
P00633,postgresC,P00211,0.0
P00634,postgresA,P00211,0.0
P00635,postgresB,P00212,0.0
P00636,postgresB,P00212,0.0
P00637,postgresC,P00212,0.0
P00638,postgresC,P00213,0.0
P00639,postgresC,P00213,0.0
P00640,postgresC,P00213,0.0
P00641,postgresC,P00214,0.0
P00642,postgresB,P00214,0.0
P00643,postgresC,P00214,0.0
P00644,postgresB,P00215,0.0
P00645,postgresB,P00215,0.0
P00646,postgresC,P00215,0.0
P00647,postgresB,P00216,0.0
P00648,postgresB,P00216,0.0
P00649,postgresC,P00216,0.0
P00650,postgresB,P00217,0.0
P00651,postgresB,P00217,0.0
P00652,postgresA,P00217,0.0
P00653,postgresB,P00218,0.0
P00654,postgresB,P00218,0.0
P00655,postgresB,P00218,0.0
P00656,postgresA,P00219,0.0
P00657,postgresA,P00219,0.0
P00658,postgresC,P00219,0.0
P00659,postgresB,P00220,0.0
P00660,postgresC,P00220,0.0
P00661,postgresA,P00220,0.0
P00662,postgresA,P00221,0.0
P00663,postgresB,P00221,0.0
P00664,postgresB,P00221,0.0
P00665,postgresB,P00222,0.0
P00666,postgresB,P00222,0.0
P00667,postgresB,P00222,0.0
P00668,postgresC,P00223,0.0
P00669,postgresB,P00223,0.0
P00670,postgresA,P00223,0.0
P00671,postgresB,P00224,0.0
P00672,postgresB,P00224,0.0
P00673,postgresB,P00224,0.0
P00674,postgresB,P00225,0.0
P00675,postgresA,P00225,0.0
P00676,postgresB,P00225,0.0
P00677,postgresC,P00226,0.0
P00678,postgresC,P00226,0.0
P00679,postgresB,P00226,0.0
P00680,postgresC,P00227,0.0
P00681,postgresC,P00227,0.0
P00682,postgresB,P00227,0.0
P00683,postgresB,P00228,0.0
P00684,postgresC,P00228,0.0
P00685,postgresA,P00228,0.0
P00686,postgresA,P00229,0.0
P00687,postgresA,P00229,0.0
P00688,postgresB,P00229,0.0
P00689,postgresB,P00230,0.0
P00690,postgresC,P00230,0.0
P00691,postgresA,P00230,0.0
P00692,postgresB,P00231,0.0
P00693,postgresB,P00231,0.0
P00694,postgresB,P00231,0.0
P00695,postgresC,P00232,0.0
P00696,postgresC,P00232,0.0
P00697,postgresC,P00232,0.0
P00698,postgresB,P00233,0.0
P00699,postgresC,P00233,0.0
P00700,postgresC,P00233,0.0
P00701,postgresB,P00234,0.0
P00702,postgresC,P00234,0.0
P00703,postgresB,P00234,0.0
P00704,postgresB,P00235,0.0
P00705,postgresC,P00235,0.0
P00706,postgresA,P00235,0.0
P00707,postgresB,P00236,0.0
P00708,postgresB,P00236,0.0
P00709,postgresC,P00236,0.0
P00710,postgresC,P00237,0.0
P00711,postgresA,P00237,0.0
P00712,postgresB,P00237,0.0
P00713,postgresA,P00238,0.0
P00714,postgresC,P00238,0.0
P00715,postgresC,P00238,0.0
P00716,postgresA,P00239,0.0
P00717,postgresA,P00239,0.0
P00718,postgresB,P00239,0.0
P00719,postgresC,P00240,0.0
P00720,postgresC,P00240,0.0
P00721,postgresA,P00240,0.0
P00722,postgresB,P00241,0.0
P00723,postgresC,P00241,0.0
P00724,postgresB,P00241,0.0
P00725,postgresA,P00242,0.0
P00726,postgresA,P00242,0.0
P00727,postgresC,P00242,0.0
P00728,postgresB,P00243,0.0
P00729,postgresC,P00243,0.0
P00730,postgresA,P00243,0.0
P00731,postgresC,P00244,0.0
P00732,postgresA,P00244,0.0
P00733,postgresA,P00244,0.0
P00734,postgresC,P00245,0.0
P00735,postgresC,P00245,0.0
P00736,postgresC,P00245,0.0
P00737,postgresB,P00246,0.0
P00738,postgresA,P00246,0.0
P00739,postgresA,P00246,0.0
P00740,postgresC,P00247,0.0
P00741,postgresA,P00247,0.0
P00742,postgresC,P00247,0.0
P00743,postgresC,P00248,0.0
P00744,postgresA,P00248,0.0
P00745,postgresB,P00248,0.0
P00746,postgresA,P00249,0.0
P00747,postgresC,P00249,0.0
P00748,postgresC,P00249,0.0
P00749,postgresC,P00250,0.0
P00750,postgresA,P00250,0.0
P00751,postgresA,P00250,0.0
P00752,postgresC,P00251,0.0
P00753,postgresB,P00251,0.0
P00754,postgresA,P00251,0.0
P00755,postgresC,P00252,0.0
P00756,postgresC,P00252,0.0
P00757,postgresA,P00252,0.0
P00758,postgresA,P00253,0.0
P00759,postgresA,P00253,0.0
P00760,postgresA,P00253,0.0
P00761,postgresB,P00254,0.0
P00762,postgresB,P00254,0.0
P00763,postgresC,P00254,0.0
P00764,postgresC,P00255,0.0
P00765,postgresC,P00255,0.0
P00766,postgresC,P00255,0.0
P00767,postgresA,P00256,0.0
P00768,postgresB,P00256,0.0
P00769,postgresB,P00256,0.0
P00770,postgresB,P00257,0.0
P00771,postgresC,P00257,0.0
P00772,postgresA,P00257,0.0
P00773,postgresC,P00258,0.0
P00774,postgresC,P00258,0.0
P00775,postgresA,P00258,0.0
P00776,postgresB,P00259,0.0
P00777,postgresA,P00259,0.0
P00778,postgresB,P00259,0.0
P00779,postgresB,P00260,0.0
P00780,postgresA,P00260,0.0
P00781,postgresA,P00260,0.0
P00782,postgresA,P00261,0.0
P00783,postgresC,P00261,0.0
P00784,postgresA,P00261,0.0
P00785,postgresA,P00262,0.0
P00786,postgresB,P00262,0.0
P00787,postgresC,P00262,0.0
P00788,postgresC,P00263,0.0
P00789,postgresC,P00263,0.0
P00790,postgresB,P00263,0.0
P00791,postgresA,P00264,0.0
P00792,postgresA,P00264,0.0
P00793,postgresC,P00264,0.0
P00794,postgresB,P00265,0.0
P00795,postgresC,P00265,0.0
P00796,postgresB,P00265,0.0
P00797,postgresB,P00266,0.0
P00798,postgresA,P00266,0.0
P00799,postgresA,P00266,0.0
P00800,postgresB,P00267,0.0
P00801,postgresA,P00267,0.0
P00802,postgresB,P00267,0.0
P00803,postgresC,P00268,0.0
P00804,postgresA,P00268,0.0
P00805,postgresB,P00268,0.0
P00806,postgresC,P00269,0.0
P00807,postgresC,P00269,0.0
P00808,postgresB,P00269,0.0
P00809,postgresA,P00270,0.0
P00810,postgresB,P00270,0.0
P00811,postgresC,P00270,0.0
P00812,postgresB,P00271,0.0
P00813,postgresB,P00271,0.0
P00814,postgresC,P00271,0.0
P00815,postgresA,P00272,0.0
P00816,postgresA,P00272,0.0
P00817,postgresB,P00272,0.0
P00818,postgresA,P00273,0.0
P00819,postgresA,P00273,0.0
P00820,postgresA,P00273,0.0
P00821,postgresA,P00274,0.0
