partsid,datalink,cfp,parents_partsid,totalcfp
P00123,postgresA,0.124,P00041,0.0
P00124,postgresC,7.282,P00041,0.0
P00125,postgresA,2.892,P00042,0.0
P00126,postgresC,1.109,P00042,0.0
P00127,postgresB,5.022,P00042,0.0
P00128,postgresA,9.274,P00043,0.0
P00129,postgresC,1.063,P00043,0.0
P00130,postgresA,6.666,P00043,0.0
P00131,postgresC,3.164,P00044,0.0
P00132,postgresA,2.469,P00044,0.0
P00133,postgresA,8.173,P00044,0.0
P00134,postgresC,0.134,P00045,0.0
P00135,postgresC,2.0,P00045,0.0
P00136,postgresA,0.497,P00045,0.0
P00137,postgresB,9.275,P00046,0.0
P00138,postgresC,1.891,P00046,0.0
P00139,postgresB,4.654,P00046,0.0
P00140,postgresA,4.694,P00047,0.0
P00141,postgresC,9.635,P00047,0.0
P00142,postgresA,3.392,P00047,0.0
P00143,postgresB,9.44,P00048,0.0
P00144,postgresA,2.712,P00048,0.0
P00145,postgresC,1.308,P00048,0.0
P00146,postgresB,6.519,P00049,0.0
P00147,postgresB,8.128,P00049,0.0
P00148,postgresA,0.746,P00049,0.0
P00149,postgresA,5.242,P00050,0.0
P00150,postgresC,8.453,P00050,0.0
P00151,postgresA,3.149,P00050,0.0
P00152,postgresA,1.451,P00051,0.0
P00153,postgresB,3.064,P00051,0.0
P00154,postgresA,5.972,P00051,0.0
P00155,postgresC,7.399,P00052,0.0
P00156,postgresA,8.759,P00052,0.0
P00157,postgresC,5.897,P00052,0.0
P00158,postgresA,9.06,P00053,0.0
P00159,postgresA,5.925,P00053,0.0
P00160,postgresA,0.225,P00053,0.0
P00161,postgresB,9.894,P00054,0.0
P00162,postgresC,6.94,P00054,0.0
P00163,postgresB,0.617,P00054,0.0
P00164,postgresA,0.976,P00055,0.0
P00165,postgresA,2.187,P00055,0.0
P00166,postgresB,1.057,P00055,0.0
P00167,postgresC,2.608,P00056,0.0
P00168,postgresC,3.931,P00056,0.0
P00169,postgresB,0.339,P00056,0.0
P00170,postgresA,4.561,P00057,0.0
P00171,postgresA,3.121,P00057,0.0
P00172,postgresC,2.701,P00057,0.0
P00173,postgresC,1.436,P00058,0.0
P00174,postgresC,0.323,P00058,0.0
P00175,postgresC,5.121,P00058,0.0
P00176,postgresB,3.841,P00059,0.0
P00177,postgresC,8.77,P00059,0.0
P00178,postgresC,5.083,P00059,0.0
P00179,postgresB,8.334,P00060,0.0
P00180,postgresB,8.487,P00060,0.0
P00181,postgresB,9.489,P00060,0.0
P00182,postgresB,2.118,P00061,0.0
P00183,postgresC,7.48,P00061,0.0
P00184,postgresC,7.307,P00061,0.0
P00185,postgresB,2.664,P00062,0.0
P00186,postgresA,3.161,P00062,0.0
P00187,postgresB,7.256,P00062,0.0
P00188,postgresC,9.591,P00063,0.0
P00189,postgresC,1.621,P00063,0.0
P00190,postgresA,4.998,P00063,0.0
P00191,postgresC,2.141,P00064,0.0
P00192,postgresB,0.525,P00064,0.0
P00193,postgresB,6.675,P00064,0.0
P00194,postgresC,1.843,P00065,0.0
P00195,postgresC,2.212,P00065,0.0
P00196,postgresA,1.112,P00065,0.0
P00197,postgresA,2.721,P00066,0.0
P00198,postgresB,2.966,P00066,0.0
P00199,postgresC,7.139,P00066,0.0
P00200,postgresC,4.177,P00067,0.0
P00201,postgresA,9.745,P00067,0.0
P00202,postgresB,9.439,P00067,0.0
P00203,postgresA,9.445,P00068,0.0
P00204,postgresA,2.786,P00068,0.0
P00205,postgresB,7.564,P00068,0.0
P00206,postgresA,7.407,P00069,0.0
P00207,postgresC,6.279,P00069,0.0
P00208,postgresA,9.184,P00069,0.0
P00209,postgresC,5.266,P00070,0.0
P00210,postgresA,1.339,P00070,0.0
P00211,postgresA,1.981,P00070,0.0
P00212,postgresC,4.39,P00071,0.0
P00213,postgresC,0.834,P00071,0.0
P00214,postgresA,7.419,P00071,0.0
P00215,postgresC,4.034,P00072,0.0
P00216,postgresC,6.074,P00072,0.0
P00217,postgresB,6.152,P00072,0.0
P00218,postgresC,8.42,P00073,0.0
P00219,postgresB,4.738,P00073,0.0
P00220,postgresB,6.782,P00073,0.0
P00221,postgresA,7.028,P00074,0.0
P00222,postgresC,7.23,P00074,0.0
P00223,postgresA,9.415,P00074,0.0
P00224,postgresB,3.344,P00075,0.0
P00225,postgresA,0.84,P00075,0.0
P00226,postgresC,8.114,P00075,0.0
P00227,postgresC,7.473,P00076,0.0
P00228,postgresC,2.908,P00076,0.0
P00229,postgresB,3.481,P00076,0.0
P00230,postgresA,3.601,P00077,0.0
P00231,postgresA,8.997,P00077,0.0
P00232,postgresC,2.41,P00077,0.0
P00233,postgresA,8.203,P00078,0.0
P00234,postgresB,6.616,P00078,0.0
P00235,postgresA,9.975,P00078,0.0
P00236,postgresA,6.707,P00079,0.0
P00237,postgresA,7.227,P00079,0.0
P00238,postgresB,1.21,P00079,0.0
P00239,postgresC,7.374,P00080,0.0
P00240,postgresA,9.277,P00080,0.0
P00241,postgresB,5.387,P00080,0.0
P00242,postgresC,8.257,P00081,0.0
P00243,postgresB,8.403,P00081,0.0
P00244,postgresC,5.768,P00081,0.0
P00245,postgresC,1.388,P00082,0.0
P00246,postgresA,1.311,P00082,0.0
P00247,postgresA,2.206,P00082,0.0
P00248,postgresB,5.826,P00083,0.0
P00249,postgresA,2.97,P00083,0.0
P00250,postgresC,3.038,P00083,0.0
P00251,postgresB,0.869,P00084,0.0
P00252,postgresA,8.197,P00084,0.0
P00253,postgresA,7.376,P00084,0.0
P00254,postgresA,5.876,P00085,0.0
P00255,postgresC,3.201,P00085,0.0
P00256,postgresC,1.836,P00085,0.0
P00257,postgresA,5.867,P00086,0.0
P00258,postgresB,7.439,P00086,0.0
P00259,postgresC,7.585,P00086,0.0
P00260,postgresB,7.605,P00087,0.0
P00261,postgresB,0.548,P00087,0.0
P00262,postgresA,8.101,P00087,0.0
P00263,postgresB,3.374,P00088,0.0
P00264,postgresA,6.892,P00088,0.0
P00265,postgresC,2.447,P00088,0.0
P00266,postgresB,8.36,P00089,0.0
P00267,postgresC,3.725,P00089,0.0
P00268,postgresA,4.333,P00089,0.0
P00269,postgresA,0.483,P00090,0.0
P00270,postgresC,0.645,P00090,0.0
P00271,postgresC,8.437,P00090,0.0
P00272,postgresB,8.245,P00091,0.0
P00273,postgresB,9.14,P00091,0.0
P00274,postgresA,6.3,P00091,0.0
P00275,postgresB,3.031,P00092,0.0
P00276,postgresB,7.551,P00092,0.0
P00277,postgresB,3.744,P00092,0.0
P00278,postgresC,8.998,P00093,0.0
P00279,postgresA,4.309,P00093,0.0
P00280,postgresB,6.652,P00093,0.0
P00281,postgresB,1.572,P00094,0.0
P00282,postgresA,4.823,P00094,0.0
P00283,postgresA,5.696,P00094,0.0
P00284,postgresB,2.554,P00095,0.0
P00285,postgresC,4.669,P00095,0.0
P00286,postgresA,1.576,P00095,0.0
P00287,postgresB,0.297,P00096,0.0
P00288,postgresC,2.637,P00096,0.0
P00289,postgresA,1.607,P00096,0.0
P00290,postgresB,3.053,P00097,0.0
P00291,postgresC,9.325,P00097,0.0
P00292,postgresC,9.466,P00097,0.0
P00293,postgresA,1.955,P00098,0.0
P00294,postgresC,5.009,P00098,0.0
P00295,postgresA,3.475,P00098,0.0
P00296,postgresA,3.298,P00099,0.0
P00297,postgresB,4.417,P00099,0.0
P00298,postgresB,1.389,P00099,0.0
P00299,postgresC,6.311,P00100,0.0
P00300,postgresB,1.995,P00100,0.0
P00301,postgresA,7.983,P00100,0.0
P00302,postgresC,0.024,P00101,0.0
P00303,postgresB,9.68,P00101,0.0
P00304,postgresC,1.692,P00101,0.0
P00305,postgresA,3.346,P00102,0.0
P00306,postgresA,7.688,P00102,0.0
P00307,postgresC,2.853,P00102,0.0
P00308,postgresB,7.35,P00103,0.0
P00309,postgresB,5.331,P00103,0.0
P00310,postgresA,0.211,P00103,0.0
P00311,postgresC,7.458,P00104,0.0
P00312,postgresB,1.778,P00104,0.0
P00313,postgresC,3.131,P00104,0.0
P00314,postgresB,6.908,P00105,0.0
P00315,postgresB,0.347,P00105,0.0
P00316,postgresC,4.131,P00105,0.0
P00317,postgresB,0.382,P00106,0.0
P00318,postgresC,4.488,P00106,0.0
P00319,postgresA,9.647,P00106,0.0
P00320,postgresA,7.309,P00107,0.0
P00321,postgresC,8.527,P00107,0.0
P00322,postgresB,9.438,P00107,0.0
P00323,postgresC,7.825,P00108,0.0
P00324,postgresB,8.415,P00108,0.0
P00325,postgresC,8.487,P00108,0.0
P00326,postgresB,8.57,P00109,0.0
P00327,postgresA,6.663,P00109,0.0
P00328,postgresA,8.843,P00109,0.0
P00329,postgresA,4.399,P00110,0.0
P00330,postgresA,5.724,P00110,0.0
P00331,postgresB,3.961,P00110,0.0
P00332,postgresC,5.15,P00111,0.0
P00333,postgresC,9.359,P00111,0.0
P00334,postgresA,4.0,P00111,0.0
P00335,postgresC,9.457,P00112,0.0
P00336,postgresA,8.562,P00112,0.0
P00337,postgresB,3.732,P00112,0.0
P00338,postgresC,1.353,P00113,0.0
P00339,postgresB,7.846,P00113,0.0
P00340,postgresA,0.041,P00113,0.0
P00341,postgresA,9.405,P00114,0.0
P00342,postgresC,5.314,P00114,0.0
P00343,postgresA,1.179,P00114,0.0
P00344,postgresA,2.591,P00115,0.0
P00345,postgresC,5.776,P00115,0.0
P00346,postgresA,5.936,P00115,0.0
P00347,postgresA,6.785,P00116,0.0
P00348,postgresC,2.793,P00116,0.0
P00349,postgresB,4.177,P00116,0.0
P00350,postgresC,6.841,P00117,0.0
P00351,postgresC,4.492,P00117,0.0
P00352,postgresC,0.842,P00117,0.0
P00353,postgresB,6.413,P00118,0.0
P00354,postgresB,4.679,P00118,0.0
P00355,postgresB,7.807,P00118,0.0
P00356,postgresC,7.236,P00119,0.0
P00357,postgresA,8.556,P00119,0.0
P00358,postgresA,0.172,P00119,0.0
P00359,postgresB,4.917,P00120,0.0
P00360,postgresC,3.672,P00120,0.0
P00361,postgresA,8.869,P00120,0.0
P00362,postgresC,7.264,P00121,0.0
P00363,postgresC,7.128,P00121,0.0
P00364,postgresB,3.126,P00121,0.0
P00365,postgresB,1.854,P00122,0.0
P00366,postgresC,8.241,P00122,0.0
P00367,postgresC,9.706,P00122,0.0
P00368,postgresC,4.593,P00123,0.0
P00369,postgresB,7.704,P00123,0.0
P00370,postgresA,8.751,P00123,0.0
P00371,postgresA,0.51,P00124,0.0
P00372,postgresB,5.232,P00124,0.0
P00373,postgresA,8.54,P00124,0.0
P00374,postgresB,5.905,P00125,0.0
P00375,postgresC,3.641,P00125,0.0
P00376,postgresC,1.833,P00125,0.0
P00377,postgresC,8.993,P00126,0.0
P00378,postgresA,4.571,P00126,0.0
P00379,postgresC,1.197,P00126,0.0
P00380,postgresC,9.904,P00127,0.0
P00381,postgresA,1.545,P00127,0.0
P00382,postgresB,8.293,P00127,0.0
P00383,postgresA,3.993,P00128,0.0
P00384,postgresA,5.416,P00128,0.0
P00385,postgresC,4.329,P00128,0.0
P00386,postgresA,3.174,P00129,0.0
P00387,postgresA,1.872,P00129,0.0
P00388,postgresC,1.655,P00129,0.0
P00389,postgresC,0.465,P00130,0.0
P00390,postgresA,7.279,P00130,0.0
P00391,postgresB,3.975,P00130,0.0
P00392,postgresB,7.945,P00131,0.0
P00393,postgresC,6.637,P00131,0.0
P00394,postgresB,1.516,P00131,0.0
P00395,postgresA,0.19,P00132,0.0
P00396,postgresA,9.76,P00132,0.0
P00397,postgresB,4.985,P00132,0.0
P00398,postgresA,3.555,P00133,0.0
P00399,postgresA,6.598,P00133,0.0
P00400,postgresC,8.491,P00133,0.0
P00401,postgresC,9.516,P00134,0.0
P00402,postgresA,7.919,P00134,0.0
P00403,postgresB,4.963,P00134,0.0
P00404,postgresC,7.477,P00135,0.0
P00405,postgresC,2.838,P00135,0.0
P00406,postgresA,8.657,P00135,0.0
P00407,postgresA,8.165,P00136,0.0
P00408,postgresC,1.382,P00136,0.0
P00409,postgresB,8.996,P00136,0.0
P00410,postgresA,9.819,P00137,0.0
P00411,postgresB,4.007,P00137,0.0
P00412,postgresB,2.709,P00137,0.0
P00413,postgresA,6.127,P00138,0.0
P00414,postgresA,2.062,P00138,0.0
P00415,postgresC,1.585,P00138,0.0
P00416,postgresC,0.982,P00139,0.0
P00417,postgresC,4.143,P00139,0.0
P00418,postgresB,2.13,P00139,0.0
P00419,postgresA,3.596,P00140,0.0
P00420,postgresC,1.331,P00140,0.0
P00421,postgresC,1.4,P00140,0.0
P00422,postgresA,0.871,P00141,0.0
P00423,postgresA,2.117,P00141,0.0
P00424,postgresA,3.354,P00141,0.0
P00425,postgresB,6.145,P00142,0.0
P00426,postgresB,3.756,P00142,0.0
P00427,postgresA,9.055,P00142,0.0
P00428,postgresA,2.71,P00143,0.0
P00429,postgresC,2.225,P00143,0.0
P00430,postgresC,7.633,P00143,0.0
P00431,postgresB,7.011,P00144,0.0
P00432,postgresA,0.211,P00144,0.0
P00433,postgresC,2.82,P00144,0.0
P00434,postgresB,4.541,P00145,0.0
P00435,postgresB,6.16,P00145,0.0
P00436,postgresC,7.897,P00145,0.0
P00437,postgresA,2.797,P00146,0.0
P00438,postgresA,8.168,P00146,0.0
P00439,postgresB,6.136,P00146,0.0
P00440,postgresA,1.345,P00147,0.0
P00441,postgresB,9.615,P00147,0.0
P00442,postgresC,2.615,P00147,0.0
P00443,postgresC,0.518,P00148,0.0
P00444,postgresA,1.351,P00148,0.0
P00445,postgresB,1.454,P00148,0.0
P00446,postgresC,0.692,P00149,0.0
P00447,postgresC,9.329,P00149,0.0
P00448,postgresB,6.954,P00149,0.0
P00449,postgresC,7.899,P00150,0.0
P00450,postgresC,0.203,P00150,0.0
P00451,postgresA,1.598,P00150,0.0
P00452,postgresA,4.679,P00151,0.0
P00453,postgresB,2.907,P00151,0.0
P00454,postgresC,8.893,P00151,0.0
P00455,postgresB,5.582,P00152,0.0
P00456,postgresA,9.888,P00152,0.0
P00457,postgresB,8.294,P00152,0.0
P00458,postgresA,7.232,P00153,0.0
P00459,postgresC,7.276,P00153,0.0
P00460,postgresA,0.815,P00153,0.0
P00461,postgresA,5.87,P00154,0.0
P00462,postgresA,8.858,P00154,0.0
P00463,postgresA,2.874,P00154,0.0
P00464,postgresC,5.531,P00155,0.0
P00465,postgresA,1.174,P00155,0.0
P00466,postgresB,6.175,P00155,0.0
P00467,postgresC,6.381,P00156,0.0
P00468,postgresB,2.343,P00156,0.0
P00469,postgresC,4.006,P00156,0.0
P00470,postgresA,7.989,P00157,0.0
P00471,postgresA,3.221,P00157,0.0
P00472,postgresB,5.315,P00157,0.0
P00473,postgresA,2.748,P00158,0.0
P00474,postgresC,1.66,P00158,0.0
P00475,postgresA,2.694,P00158,0.0
P00476,postgresB,5.411,P00159,0.0
P00477,postgresA,7.996,P00159,0.0
P00478,postgresC,9.165,P00159,0.0
P00479,postgresB,7.026,P00160,0.0
P00480,postgresA,2.996,P00160,0.0
P00481,postgresA,7.455,P00160,0.0
P00482,postgresC,6.229,P00161,0.0
P00483,postgresB,7.252,P00161,0.0
P00484,postgresC,7.496,P00161,0.0
P00485,postgresA,5.235,P00162,0.0
P00486,postgresC,6.127,P00162,0.0
P00487,postgresA,4.001,P00162,0.0
P00488,postgresA,4.521,P00163,0.0
P00489,postgresC,5.924,P00163,0.0
P00490,postgresC,9.016,P00163,0.0
P00491,postgresC,8.505,P00164,0.0
P00492,postgresB,3.037,P00164,0.0
P00493,postgresA,9.192,P00164,0.0
P00494,postgresB,5.021,P00165,0.0
P00495,postgresA,9.906,P00165,0.0
P00496,postgresB,9.411,P00165,0.0
P00497,postgresC,2.824,P00166,0.0
P00498,postgresC,1.939,P00166,0.0
P00499,postgresC,4.601,P00166,0.0
P00500,postgresC,0.21,P00167,0.0
P00501,postgresA,0.907,P00167,0.0
P00502,postgresC,1.646,P00167,0.0
P00503,postgresA,8.897,P00168,0.0
P00504,postgresA,4.314,P00168,0.0
P00505,postgresC,7.676,P00168,0.0
P00506,postgresC,7.747,P00169,0.0
P00507,postgresA,7.359,P00169,0.0
P00508,postgresC,3.157,P00169,0.0
P00509,postgresC,9.807,P00170,0.0
P00510,postgresC,0.417,P00170,0.0
P00511,postgresC,8.42,P00170,0.0
P00512,postgresB,3.843,P00171,0.0
P00513,postgresC,6.148,P00171,0.0
P00514,postgresA,3.709,P00171,0.0
P00515,postgresC,1.954,P00172,0.0
P00516,postgresA,6.326,P00172,0.0
P00517,postgresC,2.44,P00172,0.0
P00518,postgresC,6.555,P00173,0.0
P00519,postgresC,3.787,P00173,0.0
P00520,postgresC,7.128,P00173,0.0
P00521,postgresA,4.495,P00174,0.0
P00522,postgresC,6.461,P00174,0.0
P00523,postgresC,4.693,P00174,0.0
P00524,postgresB,8.082,P00175,0.0
P00525,postgresC,5.832,P00175,0.0
P00526,postgresB,4.445,P00175,0.0
P00527,postgresB,4.982,P00176,0.0
P00528,postgresA,3.378,P00176,0.0
P00529,postgresA,1.058,P00176,0.0
P00530,postgresB,4.487,P00177,0.0
P00531,postgresC,7.79,P00177,0.0
P00532,postgresA,3.046,P00177,0.0
P00533,postgresB,4.804,P00178,0.0
P00534,postgresA,2.402,P00178,0.0
P00535,postgresA,0.321,P00178,0.0
P00536,postgresA,4.806,P00179,0.0
P00537,postgresB,4.379,P00179,0.0
P00538,postgresA,3.901,P00179,0.0
P00539,postgresB,4.423,P00180,0.0
P00540,postgresA,4.495,P00180,0.0
P00541,postgresB,1.841,P00180,0.0
P00542,postgresB,4.684,P00181,0.0
P00543,postgresB,7.04,P00181,0.0
P00544,postgresC,1.8,P00181,0.0
P00545,postgresB,0.332,P00182,0.0
P00546,postgresC,6.451,P00182,0.0
P00547,postgresA,8.725,P00182,0.0
P00548,postgresB,5.743,P00183,0.0
P00549,postgresC,4.854,P00183,0.0
P00550,postgresA,1.355,P00183,0.0
P00551,postgresA,4.412,P00184,0.0
P00552,postgresC,4.862,P00184,0.0
P00553,postgresA,5.077,P00184,0.0
P00554,postgresB,5.137,P00185,0.0
P00555,postgresC,1.611,P00185,0.0
P00556,postgresA,9.117,P00185,0.0
P00557,postgresC,6.452,P00186,0.0
P00558,postgresB,3.303,P00186,0.0
P00559,postgresB,9.569,P00186,0.0
P00560,postgresA,0.495,P00187,0.0
P00561,postgresA,4.505,P00187,0.0
P00562,postgresB,8.837,P00187,0.0
P00563,postgresB,5.933,P00188,0.0
P00564,postgresA,0.976,P00188,0.0
P00565,postgresB,6.238,P00188,0.0
P00566,postgresA,8.561,P00189,0.0
P00567,postgresC,9.871,P00189,0.0
P00568,postgresC,4.658,P00189,0.0
P00569,postgresC,9.361,P00190,0.0
P00570,postgresB,6.256,P00190,0.0
P00571,postgresB,8.027,P00190,0.0
P00572,postgresC,6.136,P00191,0.0
P00573,postgresC,1.0,P00191,0.0
P00574,postgresA,6.499,P00191,0.0
P00575,postgresA,2.306,P00192,0.0
P00576,postgresB,9.775,P00192,0.0
P00577,postgresC,8.558,P00192,0.0
P00578,postgresC,1.213,P00193,0.0
P00579,postgresA,6.535,P00193,0.0
P00580,postgresB,5.556,P00193,0.0
P00581,postgresC,8.319,P00194,0.0
P00582,postgresA,5.903,P00194,0.0
P00583,postgresC,9.585,P00194,0.0
P00584,postgresC,2.04,P00195,0.0
P00585,postgresA,1.943,P00195,0.0
P00586,postgresB,9.524,P00195,0.0
P00587,postgresA,9.422,P00196,0.0
P00588,postgresA,5.062,P00196,0.0
P00589,postgresC,9.898,P00196,0.0
P00590,postgresC,6.951,P00197,0.0
P00591,postgresB,8.189,P00197,0.0
P00592,postgresC,1.851,P00197,0.0
P00593,postgresB,4.807,P00198,0.0
P00594,postgresA,0.194,P00198,0.0
P00595,postgresC,7.352,P00198,0.0
P00596,postgresB,2.246,P00199,0.0
P00597,postgresB,2.116,P00199,0.0
P00598,postgresC,0.085,P00199,0.0
P00599,postgresB,4.497,P00200,0.0
P00600,postgresA,0.279,P00200,0.0
P00601,postgresB,4.894,P00200,0.0
P00602,postgresA,3.535,P00201,0.0
P00603,postgresA,9.076,P00201,0.0
P00604,postgresC,4.123,P00201,0.0
P00605,postgresA,6.074,P00202,0.0
P00606,postgresC,3.386,P00202,0.0
P00607,postgresC,1.995,P00202,0.0
P00608,postgresC,6.69,P00203,0.0
P00609,postgresA,0.051,P00203,0.0
P00610,postgresB,9.711,P00203,0.0
P00611,postgresB,7.021,P00204,0.0
P00612,postgresC,3.113,P00204,0.0
P00613,postgresC,6.633,P00204,0.0
P00614,postgresA,9.402,P00205,0.0
P00615,postgresA,7.992,P00205,0.0
P00616,postgresB,8.134,P00205,0.0
P00617,postgresA,3.386,P00206,0.0
P00618,postgresA,2.229,P00206,0.0
P00619,postgresC,6.021,P00206,0.0
P00620,postgresB,6.042,P00207,0.0
P00621,postgresC,5.876,P00207,0.0
P00622,postgresC,1.62,P00207,0.0
P00623,postgresB,5.241,P00208,0.0
P00624,postgresB,4.911,P00208,0.0
P00625,postgresC,1.115,P00208,0.0
P00626,postgresA,0.421,P00209,0.0
P00627,postgresB,1.033,P00209,0.0
P00628,postgresA,4.762,P00209,0.0
P00629,postgresC,2.169,P00210,0.0
P00630,postgresA,5.591,P00210,0.0
P00631,postgresA,4.055,P00210,0.0
P00632,postgresB,0.494,P00211,0.0
P00633,postgresA,1.74,P00211,0.0
P00634,postgresC,0.689,P00211,0.0
P00635,postgresB,3.83,P00212,0.0
P00636,postgresB,1.894,P00212,0.0
P00637,postgresB,9.566,P00212,0.0
P00638,postgresA,4.733,P00213,0.0
P00639,postgresA,5.635,P00213,0.0
P00640,postgresB,7.815,P00213,0.0
P00641,postgresA,5.669,P00214,0.0
P00642,postgresC,1.56,P00214,0.0
P00643,postgresC,2.823,P00214,0.0
P00644,postgresB,0.857,P00215,0.0
P00645,postgresA,0.251,P00215,0.0
P00646,postgresC,7.829,P00215,0.0
P00647,postgresA,8.344,P00216,0.0
P00648,postgresC,3.842,P00216,0.0
P00649,postgresC,8.233,P00216,0.0
P00650,postgresB,3.221,P00217,0.0
P00651,postgresA,5.846,P00217,0.0
P00652,postgresB,2.819,P00217,0.0
P00653,postgresB,1.601,P00218,0.0
P00654,postgresC,8.538,P00218,0.0
P00655,postgresA,5.575,P00218,0.0
P00656,postgresB,6.993,P00219,0.0
P00657,postgresC,6.071,P00219,0.0
P00658,postgresB,1.522,P00219,0.0
P00659,postgresA,7.977,P00220,0.0
P00660,postgresA,6.33,P00220,0.0
P00661,postgresC,9.282,P00220,0.0
P00662,postgresC,0.065,P00221,0.0
P00663,postgresB,5.024,P00221,0.0
P00664,postgresA,6.62,P00221,0.0
