partsid,datalink,parents_partsid
P00180,postgresB,P00060
P00181,postgresB,P00060
P00182,postgresB,P00061
P00183,postgresC,P00061
P00184,postgresC,P00061
P00185,postgresB,P00062
P00186,postgresA,P00062
P00187,postgresB,P00062
P00188,postgresC,P00063
P00189,postgresC,P00063
P00190,postgresA,P00063
P00191,postgresC,P00064
P00192,postgresB,P00064
P00193,postgresB,P00064
P00194,postgresC,P00065
P00195,postgresC,P00065
P00196,postgresA,P00065
P00197,postgresA,P00066
P00198,postgresB,P00066
P00199,postgresC,P00066
P00200,postgresC,P00067
P00201,postgresA,P00067
P00202,postgresB,P00067
P00203,postgresA,P00068
P00204,postgresA,P00068
P00205,postgresB,P00068
P00206,postgresA,P00069
P00207,postgresC,P00069
P00208,postgresA,P00069
P00209,postgresC,P00070
P00210,postgresA,P00070
P00211,postgresA,P00070
P00212,postgresC,P00071
P00213,postgresC,P00071
P00214,postgresA,P00071
P00215,postgresC,P00072
P00216,postgresC,P00072
P00217,postgresB,P00072
P00218,postgresC,P00073
P00219,postgresB,P00073
P00220,postgresB,P00073
P00221,postgresA,P00074
P00222,postgresC,P00074
P00223,postgresA,P00074
P00224,postgresB,P00075
P00225,postgresA,P00075
P00226,postgresC,P00075
P00227,postgresC,P00076
P00228,postgresC,P00076
P00229,postgresB,P00076
P00230,postgresA,P00077
P00231,postgresA,P00077
P00232,postgresC,P00077
P00233,postgresA,P00078
P00234,postgresB,P00078
P00235,postgresA,P00078
P00236,postgresA,P00079
P00237,postgresA,P00079
P00238,postgresB,P00079
P00239,postgresC,P00080
P00240,postgresA,P00080
P00241,postgresB,P00080
P00242,postgresC,P00081
P00243,postgresB,P00081
P00244,postgresC,P00081
P00245,postgresC,P00082
P00246,postgresA,P00082
P00247,postgresA,P00082
P00248,postgresB,P00083
P00249,postgresA,P00083
P00250,postgresC,P00083
P00251,postgresB,P00084
P00252,postgresA,P00084
P00253,postgresA,P00084
P00254,postgresA,P00085
P00255,postgresC,P00085
P00256,postgresC,P00085
P00257,postgresA,P00086
P00258,postgresB,P00086
P00259,postgresC,P00086
P00260,postgresB,P00087
P00261,postgresB,P00087
P00262,postgresA,P00087
P00263,postgresB,P00088
P00264,postgresA,P00088
P00265,postgresC,P00088
P00266,postgresB,P00089
P00267,postgresC,P00089
P00268,postgresA,P00089
P00269,postgresA,P00090
P00270,postgresC,P00090
P00271,postgresC,P00090
P00272,postgresB,P00091
P00273,postgresB,P00091
P00274,postgresA,P00091
P00275,postgresB,P00092
P00276,postgresB,P00092
P00277,postgresB,P00092
P00278,postgresC,P00093
P00279,postgresA,P00093
P00280,postgresB,P00093
P00281,postgresB,P00094
P00282,postgresA,P00094
P00283,postgresA,P00094
P00284,postgresB,P00095
P00285,postgresC,P00095
P00286,postgresA,P00095
P00287,postgresB,P00096
P00288,postgresC,P00096
P00289,postgresA,P00096
P00290,postgresB,P00097
P00291,postgresC,P00097
P00292,postgresC,P00097
P00293,postgresA,P00098
P00294,postgresC,P00098
P00295,postgresA,P00098
P00296,postgresA,P00099
P00297,postgresB,P00099
P00298,postgresB,P00099
P00299,postgresC,P00100
P00300,postgresB,P00100
P00301,postgresA,P00100
P00302,postgresC,P00101
P00303,postgresB,P00101
P00304,postgresC,P00101
P00305,postgresA,P00102
P00306,postgresA,P00102
P00307,postgresC,P00102
P00308,postgresB,P00103
P00309,postgresB,P00103
P00310,postgresA,P00103
P00311,postgresC,P00104
P00312,postgresB,P00104
P00313,postgresC,P00104
P00314,postgresB,P00105
P00315,postgresB,P00105
P00316,postgresC,P00105
P00317,postgresB,P00106
P00318,postgresC,P00106
P00319,postgresA,P00106
P00320,postgresA,P00107
P00321,postgresC,P00107
P00322,postgresB,P00107
P00323,postgresC,P00108
P00324,postgresB,P00108
P00325,postgresC,P00108
P00326,postgresB,P00109
P00327,postgresA,P00109
P00328,postgresA,P00109
P00329,postgresA,P00110
P00330,postgresA,P00110
P00331,postgresB,P00110
P00332,postgresC,P00111
P00333,postgresC,P00111
P00334,postgresA,P00111
P00335,postgresC,P00112
P00336,postgresA,P00112
P00337,postgresB,P00112
P00338,postgresC,P00113
P00339,postgresB,P00113
P00340,postgresA,P00113
P00341,postgresA,P00114
P00342,postgresC,P00114
P00343,postgresA,P00114
P00344,postgresA,P00115
P00345,postgresC,P00115
P00346,postgresA,P00115
P00347,postgresA,P00116
P00348,postgresC,P00116
P00349,postgresB,P00116
P00350,postgresC,P00117
P00351,postgresC,P00117
P00352,postgresC,P00117
P00353,postgresB,P00118
P00354,postgresB,P00118
P00355,postgresB,P00118
P00356,postgresC,P00119
P00357,postgresA,P00119
P00358,postgresA,P00119
P00359,postgresB,P00120
P00360,postgresC,P00120
P00361,postgresA,P00120
P00362,postgresC,P00121
P00363,postgresC,P00121
P00364,postgresB,P00121
P00365,postgresB,P00122
P00366,postgresC,P00122
P00367,postgresC,P00122
P00368,postgresC,P00123
P00369,postgresB,P00123
P00370,postgresA,P00123
P00371,postgresA,P00124
P00372,postgresB,P00124
P00373,postgresA,P00124
P00374,postgresB,P00125
P00375,postgresC,P00125
P00376,postgresC,P00125
P00377,postgresC,P00126
P00378,postgresA,P00126
P00379,postgresC,P00126
P00380,postgresC,P00127
P00381,postgresA,P00127
P00382,postgresB,P00127
P00383,postgresA,P00128
P00384,postgresA,P00128
P00385,postgresC,P00128
P00386,postgresA,P00129
P00387,postgresA,P00129
P00388,postgresC,P00129
P00389,postgresC,P00130
P00390,postgresA,P00130
P00391,postgresB,P00130
P00392,postgresB,P00131
P00393,postgresC,P00131
P00394,postgresB,P00131
P00395,postgresA,P00132
P00396,postgresA,P00132
P00397,postgresB,P00132
P00398,postgresA,P00133
P00399,postgresA,P00133
P00400,postgresC,P00133
P00401,postgresC,P00134
P00402,postgresA,P00134
P00403,postgresB,P00134
P00404,postgresC,P00135
P00405,postgresC,P00135
P00406,postgresA,P00135
P00407,postgresA,P00136
P00408,postgresC,P00136
P00409,postgresB,P00136
P00410,postgresA,P00137
P00411,postgresB,P00137
P00412,postgresB,P00137
P00413,postgresA,P00138
P00414,postgresA,P00138
P00415,postgresC,P00138
P00416,postgresC,P00139
P00417,postgresC,P00139
P00418,postgresB,P00139
P00419,postgresA,P00140
P00420,postgresC,P00140
P00421,postgresC,P00140
P00422,postgresA,P00141
P00423,postgresA,P00141
P00424,postgresA,P00141
P00425,postgresB,P00142
P00426,postgresB,P00142
P00427,postgresA,P00142
P00428,postgresA,P00143
P00429,postgresC,P00143
P00430,postgresC,P00143
P00431,postgresB,P00144
P00432,postgresA,P00144
P00433,postgresC,P00144
P00434,postgresB,P00145
P00435,postgresB,P00145
P00436,postgresC,P00145
P00437,postgresA,P00146
P00438,postgresA,P00146
P00439,postgresB,P00146
P00440,postgresA,P00147
P00441,postgresB,P00147
P00442,postgresC,P00147
P00443,postgresC,P00148
P00444,postgresA,P00148
P00445,postgresB,P00148
P00446,postgresC,P00149
P00447,postgresC,P00149
P00448,postgresB,P00149
P00449,postgresC,P00150
P00450,postgresC,P00150
P00451,postgresA,P00150
P00452,postgresA,P00151
P00453,postgresB,P00151
P00454,postgresC,P00151
P00455,postgresB,P00152
P00456,postgresA,P00152
P00457,postgresB,P00152
P00458,postgresA,P00153
P00459,postgresC,P00153
P00460,postgresA,P00153
P00461,postgresA,P00154
P00462,postgresA,P00154
P00463,postgresA,P00154
P00464,postgresC,P00155
P00465,postgresA,P00155
P00466,postgresB,P00155
P00467,postgresC,P00156
P00468,postgresB,P00156
P00469,postgresC,P00156
P00470,postgresA,P00157
P00471,postgresA,P00157
P00472,postgresB,P00157
P00473,postgresA,P00158
P00474,postgresC,P00158
P00475,postgresA,P00158
P00476,postgresB,P00159
P00477,postgresA,P00159
P00478,postgresC,P00159
P00479,postgresB,P00160
P00480,postgresA,P00160
P00481,postgresA,P00160
P00482,postgresC,P00161
P00483,postgresB,P00161
P00484,postgresC,P00161
P00485,postgresA,P00162
P00486,postgresC,P00162
P00487,postgresA,P00162
P00488,postgresA,P00163
P00489,postgresC,P00163
P00490,postgresC,P00163
P00491,postgresC,P00164
P00492,postgresB,P00164
P00493,postgresA,P00164
P00494,postgresB,P00165
P00495,postgresA,P00165
P00496,postgresB,P00165
P00497,postgresC,P00166
P00498,postgresC,P00166
P00499,postgresC,P00166
P00500,postgresC,P00167
P00501,postgresA,P00167
P00502,postgresC,P00167
P00503,postgresA,P00168
P00504,postgresA,P00168
P00505,postgresC,P00168
P00506,postgresC,P00169
P00507,postgresA,P00169
P00508,postgresC,P00169
P00509,postgresC,P00170
P00510,postgresC,P00170
P00511,postgresC,P00170
P00512,postgresB,P00171
P00513,postgresC,P00171
P00514,postgresA,P00171
P00515,postgresC,P00172
P00516,postgresA,P00172
P00517,postgresC,P00172
P00518,postgresC,P00173
P00519,postgresC,P00173
P00520,postgresC,P00173
P00521,postgresA,P00174
P00522,postgresC,P00174
P00523,postgresC,P00174
P00524,postgresB,P00175
P00525,postgresC,P00175
P00526,postgresB,P00175
P00527,postgresB,P00176
P00528,postgresA,P00176
P00529,postgresA,P00176
P00530,postgresB,P00177
P00531,postgresC,P00177
P00532,postgresA,P00177
P00533,postgresB,P00178
P00534,postgresA,P00178
P00535,postgresA,P00178
P00536,postgresA,P00179
P00537,postgresB,P00179
P00538,postgresA,P00179
P00539,postgresB,P00180
P00540,postgresA,P00180
P00541,postgresB,P00180
P00542,postgresB,P00181
P00543,postgresB,P00181
P00544,postgresC,P00181
P00545,postgresB,P00182
P00546,postgresC,P00182
P00547,postgresA,P00182
P00548,postgresB,P00183
P00549,postgresC,P00183
P00550,postgresA,P00183
P00551,postgresA,P00184
P00552,postgresC,P00184
P00553,postgresA,P00184
P00554,postgresB,P00185
P00555,postgresC,P00185
P00556,postgresA,P00185
P00557,postgresC,P00186
P00558,postgresB,P00186
P00559,postgresB,P00186
P00560,postgresA,P00187
P00561,postgresA,P00187
P00562,postgresB,P00187
P00563,postgresB,P00188
P00564,postgresA,P00188
P00565,postgresB,P00188
P00566,postgresA,P00189
P00567,postgresC,P00189
P00568,postgresC,P00189
P00569,postgresC,P00190
P00570,postgresB,P00190
P00571,postgresB,P00190
P00572,postgresC,P00191
P00573,postgresC,P00191
P00574,postgresA,P00191
P00575,postgresA,P00192
P00576,postgresB,P00192
P00577,postgresC,P00192
P00578,postgresC,P00193
P00579,postgresA,P00193
P00580,postgresB,P00193
P00581,postgresC,P00194
P00582,postgresA,P00194
P00583,postgresC,P00194
P00584,postgresC,P00195
P00585,postgresA,P00195
P00586,postgresB,P00195
P00587,postgresA,P00196
P00588,postgresA,P00196
P00589,postgresC,P00196
P00590,postgresC,P00197
P00591,postgresB,P00197
P00592,postgresC,P00197
P00593,postgresB,P00198
P00594,postgresA,P00198
P00595,postgresC,P00198
P00596,postgresB,P00199
P00597,postgresB,P00199
P00598,postgresC,P00199
P00599,postgresB,P00200
P00600,postgresA,P00200
P00601,postgresB,P00200
P00602,postgresA,P00201
P00603,postgresA,P00201
P00604,postgresC,P00201
P00605,postgresA,P00202
P00606,postgresC,P00202
P00607,postgresC,P00202
P00608,postgresC,P00203
P00609,postgresA,P00203
P00610,postgresB,P00203
P00611,postgresB,P00204
P00612,postgresC,P00204
P00613,postgresC,P00204
P00614,postgresA,P00205
P00615,postgresA,P00205
P00616,postgresB,P00205
P00617,postgresA,P00206
P00618,postgresA,P00206
P00619,postgresC,P00206
P00620,postgresB,P00207
P00621,postgresC,P00207
P00622,postgresC,P00207
P00623,postgresB,P00208
P00624,postgresB,P00208
P00625,postgresC,P00208
P00626,postgresA,P00209
P00627,postgresB,P00209
P00628,postgresA,P00209
P00629,postgresC,P00210
P00630,postgresA,P00210
P00631,postgresA,P00210
P00632,postgresB,P00211
P00633,postgresA,P00211
P00634,postgresC,P00211
P00635,postgresB,P00212
P00636,postgresB,P00212
P00637,postgresB,P00212
P00638,postgresA,P00213
P00639,postgresA,P00213
P00640,postgresB,P00213
P00641,postgresA,P00214
P00642,postgresC,P00214
P00643,postgresC,P00214
P00644,postgresB,P00215
P00645,postgresA,P00215
P00646,postgresC,P00215
P00647,postgresA,P00216
P00648,postgresC,P00216
P00649,postgresC,P00216
P00650,postgresB,P00217
P00651,postgresA,P00217
P00652,postgresB,P00217
P00653,postgresB,P00218
P00654,postgresC,P00218
P00655,postgresA,P00218
P00656,postgresB,P00219
P00657,postgresC,P00219
P00658,postgresB,P00219
P00659,postgresA,P00220
P00660,postgresA,P00220
P00661,postgresC,P00220
P00662,postgresC,P00221
P00663,postgresB,P00221
P00664,postgresA,P00221
P00665,postgresB,P00222
P00666,postgresA,P00222
P00667,postgresB,P00222
P00668,postgresA,P00223
P00669,postgresB,P00223
P00670,postgresB,P00223
P00671,postgresA,P00224
P00672,postgresC,P00224
P00673,postgresA,P00224
P00674,postgresB,P00225
P00675,postgresB,P00225
P00676,postgresA,P00225
P00677,postgresB,P00226
P00678,postgresA,P00226
P00679,postgresB,P00226
P00680,postgresA,P00227
P00681,postgresA,P00227
P00682,postgresA,P00227
P00683,postgresC,P00228
P00684,postgresB,P00228
P00685,postgresA,P00228
P00686,postgresC,P00229
P00687,postgresB,P00229
P00688,postgresB,P00229
P00689,postgresC,P00230
P00690,postgresB,P00230
P00691,postgresA,P00230
P00692,postgresC,P00231
P00693,postgresC,P00231
P00694,postgresA,P00231
P00695,postgresA,P00232
P00696,postgresB,P00232
P00697,postgresA,P00232
P00698,postgresB,P00233
P00699,postgresA,P00233
P00700,postgresB,P00233
P00701,postgresB,P00234
P00702,postgresA,P00234
P00703,postgresC,P00234
P00704,postgresB,P00235
P00705,postgresB,P00235
P00706,postgresC,P00235
P00707,postgresC,P00236
P00708,postgresB,P00236
P00709,postgresB,P00236
P00710,postgresB,P00237
P00711,postgresC,P00237
P00712,postgresB,P00237
P00713,postgresA,P00238
P00714,postgresA,P00238
P00715,postgresC,P00238
P00716,postgresC,P00239
P00717,postgresA,P00239
P00718,postgresB,P00239
P00719,postgresB,P00240
P00720,postgresA,P00240
P00721,postgresB,P00240
P00722,postgresB,P00241
P00723,postgresC,P00241
P00724,postgresC,P00241
P00725,postgresC,P00242
P00726,postgresA,P00242
P00727,postgresB,P00242
P00728,postgresA,P00243
P00729,postgresB,P00243
P00730,postgresA,P00243
P00731,postgresA,P00244
P00732,postgresC,P00244
P00733,postgresC,P00244
P00734,postgresA,P00245
P00735,postgresA,P00245
P00736,postgresC,P00245
P00737,postgresC,P00246
P00738,postgresC,P00246
P00739,postgresA,P00246
P00740,postgresB,P00247
P00741,postgresC,P00247
P00742,postgresC,P00247
P00743,postgresA,P00248
P00744,postgresA,P00248
P00745,postgresC,P00248
P00746,postgresC,P00249
P00747,postgresB,P00249
P00748,postgresC,P00249
P00749,postgresC,P00250
P00750,postgresA,P00250
P00751,postgresA,P00250
P00752,postgresB,P00251
P00753,postgresB,P00251
P00754,postgresB,P00251
P00755,postgresC,P00252
P00756,postgresC,P00252
P00757,postgresA,P00252
P00758,postgresC,P00253
P00759,postgresC,P00253
P00760,postgresA,P00253
P00761,postgresA,P00254
P00762,postgresC,P00254
P00763,postgresB,P00254
P00764,postgresB,P00255
P00765,postgresC,P00255
P00766,postgresB,P00255
P00767,postgresB,P00256
P00768,postgresC,P00256
P00769,postgresC,P00256
P00770,postgresA,P00257
P00771,postgresB,P00257
P00772,postgresC,P00257
P00773,postgresB,P00258
P00774,postgresA,P00258
P00775,postgresA,P00258
P00776,postgresC,P00259
P00777,postgresC,P00259
P00778,postgresA,P00259
P00779,postgresB,P00260
P00780,postgresA,P00260
P00781,postgresC,P00260
P00782,postgresA,P00261
P00783,postgresC,P00261
P00784,postgresC,P00261
P00785,postgresA,P00262
P00786,postgresA,P00262
P00787,postgresC,P00262
P00788,postgresA,P00263
P00789,postgresA,P00263
P00790,postgresB,P00263
P00791,postgresC,P00264
P00792,postgresB,P00264
P00793,postgresC,P00264
P00794,postgresA,P00265
P00795,postgresC,P00265
P00796,postgresC,P00265
P00797,postgresA,P00266
P00798,postgresA,P00266
P00799,postgresB,P00266
P00800,postgresA,P00267
P00801,postgresB,P00267
P00802,postgresB,P00267
P00803,postgresC,P00268
P00804,postgresC,P00268
P00805,postgresA,P00268
P00806,postgresC,P00269
P00807,postgresA,P00269
P00808,postgresB,P00269
P00809,postgresC,P00270
P00810,postgresA,P00270
P00811,postgresB,P00270
P00812,postgresC,P00271
P00813,postgresA,P00271
P00814,postgresA,P00271
P00815,postgresB,P00272
P00816,postgresB,P00272
P00817,postgresC,P00272
P00818,postgresA,P00273
P00819,postgresB,P00273
P00820,postgresC,P00273
P00821,postgresA,P00274
P00822,postgresB,P00274
P00823,postgresA,P00274
P00824,postgresC,P00275
P00825,postgresA,P00275
P00826,postgresA,P00275
P00827,postgresA,P00276
P00828,postgresA,P00276
P00829,postgresC,P00276
P00830,postgresC,P00277
P00831,postgresC,P00277
P00832,postgresB,P00277
P00833,postgresA,P00278
P00834,postgresA,P00278
P00835,postgresC,P00278
P00836,postgresB,P00279
P00837,postgresA,P00279
P00838,postgresB,P00279
P00839,postgresA,P00280
P00840,postgresC,P00280
P00841,postgresC,P00280
P00842,postgresA,P00281
P00843,postgresC,P00281
P00844,postgresB,P00281
P00845,postgresA,P00282
P00846,postgresB,P00282
P00847,postgresB,P00282
P00848,postgresB,P00283
P00849,postgresC,P00283
P00850,postgresA,P00283
P00851,postgresB,P00284
P00852,postgresB,P00284
P00853,postgresB,P00284
P00854,postgresA,P00285
P00855,postgresA,P00285
P00856,postgresB,P00285
P00857,postgresB,P00286
P00858,postgresB,P00286
P00859,postgresA,P00286
P00860,postgresB,P00287
P00861,postgresC,P00287
P00862,postgresA,P00287
P00863,postgresA,P00288
P00864,postgresC,P00288
P00865,postgresB,P00288
P00866,postgresB,P00289
P00867,postgresB,P00289
P00868,postgresA,P00289
P00869,postgresC,P00290
P00870,postgresC,P00290
P00871,postgresC,P00290
P00872,postgresB,P00291
P00873,postgresB,P00291
P00874,postgresB,P00291
P00875,postgresA,P00292
P00876,postgresA,P00292
P00877,postgresC,P00292
P00878,postgresB,P00293
P00879,postgresA,P00293
P00880,postgresB,P00293
P00881,postgresC,P00294
P00882,postgresA,P00294
P00883,postgresA,P00294
P00884,postgresA,P00295
P00885,postgresB,P00295
P00886,postgresB,P00295
P00887,postgresB,P00296
P00888,postgresC,P00296
P00889,postgresA,P00296
P00890,postgresA,P00297
P00891,postgresA,P00297
P00892,postgresC,P00297
P00893,postgresA,P00298
P00894,postgresA,P00298
P00895,postgresA,P00298
P00896,postgresA,P00299
P00897,postgresA,P00299
P00898,postgresB,P00299
P00899,postgresA,P00300
P00900,postgresA,P00300
P00901,postgresB,P00300
P00902,postgresC,P00301
P00903,postgresA,P00301
P00904,postgresA,P00301
P00905,postgresC,P00302
P00906,postgresC,P00302
P00907,postgresB,P00302
P00908,postgresC,P00303
P00909,postgresB,P00303
P00910,postgresB,P00303
P00911,postgresC,P00304
P00912,postgresB,P00304
P00913,postgresB,P00304
P00914,postgresB,P00305
P00915,postgresB,P00305
P00916,postgresA,P00305
P00917,postgresB,P00306
P00918,postgresA,P00306
P00919,postgresC,P00306
P00920,postgresB,P00307
P00921,postgresB,P00307
P00922,postgresC,P00307
P00923,postgresB,P00308
P00924,postgresA,P00308
P00925,postgresA,P00308
P00926,postgresA,P00309
P00927,postgresB,P00309
P00928,postgresB,P00309
P00929,postgresC,P00310
P00930,postgresC,P00310
P00931,postgresB,P00310
P00932,postgresA,P00311
P00933,postgresB,P00311
P00934,postgresA,P00311
P00935,postgresC,P00312
P00936,postgresC,P00312
P00937,postgresC,P00312
P00938,postgresA,P00313
P00939,postgresC,P00313
P00940,postgresC,P00313
P00941,postgresA,P00314
P00942,postgresA,P00314
P00943,postgresB,P00314
P00944,postgresA,P00315
P00945,postgresA,P00315
P00946,postgresC,P00315
P00947,postgresC,P00316
P00948,postgresC,P00316
P00949,postgresB,P00316
P00950,postgresA,P00317
P00951,postgresA,P00317
P00952,postgresB,P00317
P00953,postgresC,P00318
P00954,postgresC,P00318
P00955,postgresA,P00318
P00956,postgresB,P00319
P00957,postgresC,P00319
P00958,postgresB,P00319
P00959,postgresC,P00320
P00960,postgresA,P00320
P00961,postgresC,P00320
P00962,postgresB,P00321
P00963,postgresA,P00321
P00964,postgresC,P00321
P00965,postgresA,P00322
P00966,postgresC,P00322
P00967,postgresB,P00322
P00968,postgresB,P00323
P00969,postgresC,P00323
P00970,postgresA,P00323
P00971,postgresC,P00324
P00972,postgresB,P00324
P00973,postgresC,P00324
P00974,postgresC,P00325
P00975,postgresC,P00325
P00976,postgresA,P00325
P00977,postgresB,P00326
P00978,postgresA,P00326
P00979,postgresC,P00326
P00980,postgresB,P00327
P00981,postgresC,P00327
P00982,postgresB,P00327
P00983,postgresC,P00328
P00984,postgresC,P00328
P00985,postgresA,P00328
P00986,postgresC,P00329
P00987,postgresA,P00329
P00988,postgresB,P00329
P00989,postgresA,P00330
P00990,postgresA,P00330
P00991,postgresA,P00330
P00992,postgresA,P00331
P00993,postgresA,P00331
P00994,postgresC,P00331
P00995,postgresC,P00332
P00996,postgresC,P00332
P00997,postgresB,P00332
P00998,postgresC,P00333
P00999,postgresC,P00333
P01000,postgresC,P00333
P01001,postgresB,P00334
P01002,postgresB,P00334
P01003,postgresB,P00334
P01004,postgresB,P00335
P01005,postgresB,P00335
P01006,postgresC,P00335
P01007,postgresC,P00336
P01008,postgresB,P00336
P01009,postgresA,P00336
P01010,postgresB,P00337
P01011,postgresB,P00337
P01012,postgresA,P00337
P01013,postgresB,P00338
P01014,postgresC,P00338
P01015,postgresC,P00338
P01016,postgresB,P00339
P01017,postgresC,P00339
P01018,postgresC,P00339
P01019,postgresB,P00340
P01020,postgresA,P00340
P01021,postgresB,P00340
P01022,postgresB,P00341
P01023,postgresC,P00341
P01024,postgresA,P00341
P01025,postgresA,P00342
P01026,postgresA,P00342
P01027,postgresC,P00342
P01028,postgresA,P00343
P01029,postgresC,P00343
P01030,postgresA,P00343
P01031,postgresA,P00344
P01032,postgresB,P00344
P01033,postgresC,P00344
P01034,postgresA,P00345
P01035,postgresC,P00345
P01036,postgresB,P00345
P01037,postgresB,P00346
P01038,postgresC,P00346
P01039,postgresB,P00346
P01040,postgresB,P00347
P01041,postgresA,P00347
P01042,postgresC,P00347
P01043,postgresC,P00348
P01044,postgresB,P00348
P01045,postgresB,P00348
P01046,postgresB,P00349
P01047,postgresA,P00349
P01048,postgresB,P00349
P01049,postgresC,P00350
P01050,postgresA,P00350
P01051,postgresC,P00350
P01052,postgresC,P00351
P01053,postgresB,P00351
P01054,postgresB,P00351
P01055,postgresA,P00352
P01056,postgresC,P00352
P01057,postgresB,P00352
P01058,postgresC,P00353
P01059,postgresA,P00353
P01060,postgresB,P00353
P01061,postgresC,P00354
P01062,postgresC,P00354
P01063,postgresB,P00354
P01064,postgresA,P00355
P01065,postgresC,P00355
P01066,postgresC,P00355
P01067,postgresA,P00356
P01068,postgresA,P00356
P01069,postgresC,P00356
P01070,postgresB,P00357
P01071,postgresB,P00357
P01072,postgresA,P00357
P01073,postgresB,P00358
P01074,postgresA,P00358
