partsid,datalink,parents_partsid
P00180,postgresB,P00060
P00181,postgresB,P00060
P00182,postgresC,P00061
P00183,postgresB,P00061
P00184,postgresC,P00061
P00185,postgresC,P00062
P00186,postgresB,P00062
P00187,postgresC,P00062
P00188,postgresA,P00063
P00189,postgresA,P00063
P00190,postgresC,P00063
P00191,postgresB,P00064
P00192,postgresC,P00064
P00193,postgresC,P00064
P00194,postgresB,P00065
P00195,postgresA,P00065
P00196,postgresB,P00065
P00197,postgresC,P00066
P00198,postgresB,P00066
P00199,postgresA,P00066
P00200,postgresA,P00067
P00201,postgresA,P00067
P00202,postgresC,P00067
P00203,postgresB,P00068
P00204,postgresC,P00068
P00205,postgresA,P00068
P00206,postgresA,P00069
P00207,postgresB,P00069
P00208,postgresA,P00069
P00209,postgresC,P00070
P00210,postgresA,P00070
P00211,postgresA,P00070
P00212,postgresC,P00071
P00213,postgresA,P00071
P00214,postgresB,P00071
P00215,postgresC,P00072
P00216,postgresB,P00072
P00217,postgresB,P00072
P00218,postgresB,P00073
P00219,postgresB,P00073
P00220,postgresA,P00073
P00221,postgresA,P00074
P00222,postgresA,P00074
P00223,postgresA,P00074
P00224,postgresA,P00075
P00225,postgresA,P00075
P00226,postgresC,P00075
P00227,postgresA,P00076
P00228,postgresC,P00076
P00229,postgresC,P00076
P00230,postgresA,P00077
P00231,postgresC,P00077
P00232,postgresA,P00077
P00233,postgresA,P00078
P00234,postgresC,P00078
P00235,postgresB,P00078
P00236,postgresB,P00079
P00237,postgresB,P00079
P00238,postgresB,P00079
P00239,postgresC,P00080
P00240,postgresC,P00080
P00241,postgresC,P00080
P00242,postgresC,P00081
P00243,postgresA,P00081
P00244,postgresB,P00081
P00245,postgresA,P00082
P00246,postgresB,P00082
P00247,postgresC,P00082
P00248,postgresA,P00083
P00249,postgresA,P00083
P00250,postgresB,P00083
P00251,postgresA,P00084
P00252,postgresA,P00084
P00253,postgresB,P00084
P00254,postgresC,P00085
P00255,postgresB,P00085
P00256,postgresA,P00085
P00257,postgresA,P00086
P00258,postgresA,P00086
P00259,postgresA,P00086
P00260,postgresB,P00087
P00261,postgresB,P00087
P00262,postgresA,P00087
P00263,postgresB,P00088
P00264,postgresB,P00088
P00265,postgresC,P00088
P00266,postgresA,P00089
P00267,postgresC,P00089
P00268,postgresB,P00089
P00269,postgresA,P00090
P00270,postgresC,P00090
P00271,postgresC,P00090
P00272,postgresB,P00091
P00273,postgresB,P00091
P00274,postgresC,P00091
P00275,postgresA,P00092
P00276,postgresC,P00092
P00277,postgresA,P00092
P00278,postgresC,P00093
P00279,postgresA,P00093
P00280,postgresB,P00093
P00281,postgresC,P00094
P00282,postgresC,P00094
P00283,postgresC,P00094
P00284,postgresB,P00095
P00285,postgresB,P00095
P00286,postgresB,P00095
P00287,postgresA,P00096
P00288,postgresA,P00096
P00289,postgresC,P00096
P00290,postgresA,P00097
P00291,postgresA,P00097
P00292,postgresB,P00097
P00293,postgresC,P00098
P00294,postgresC,P00098
P00295,postgresC,P00098
P00296,postgresA,P00099
P00297,postgresC,P00099
P00298,postgresB,P00099
P00299,postgresA,P00100
P00300,postgresB,P00100
P00301,postgresA,P00100
P00302,postgresC,P00101
P00303,postgresB,P00101
P00304,postgresA,P00101
P00305,postgresB,P00102
P00306,postgresB,P00102
P00307,postgresB,P00102
P00308,postgresA,P00103
P00309,postgresC,P00103
P00310,postgresB,P00103
P00311,postgresB,P00104
P00312,postgresC,P00104
P00313,postgresB,P00104
P00314,postgresC,P00105
P00315,postgresA,P00105
P00316,postgresB,P00105
P00317,postgresB,P00106
P00318,postgresB,P00106
P00319,postgresC,P00106
P00320,postgresC,P00107
P00321,postgresC,P00107
P00322,postgresA,P00107
P00323,postgresC,P00108
P00324,postgresA,P00108
P00325,postgresA,P00108
P00326,postgresB,P00109
P00327,postgresC,P00109
P00328,postgresC,P00109
P00329,postgresC,P00110
P00330,postgresA,P00110
P00331,postgresC,P00110
P00332,postgresC,P00111
P00333,postgresB,P00111
P00334,postgresA,P00111
P00335,postgresC,P00112
P00336,postgresB,P00112
P00337,postgresB,P00112
P00338,postgresC,P00113
P00339,postgresC,P00113
P00340,postgresA,P00113
P00341,postgresC,P00114
P00342,postgresC,P00114
P00343,postgresB,P00114
P00344,postgresB,P00115
P00345,postgresA,P00115
P00346,postgresC,P00115
P00347,postgresC,P00116
P00348,postgresB,P00116
P00349,postgresA,P00116
P00350,postgresA,P00117
P00351,postgresB,P00117
P00352,postgresA,P00117
P00353,postgresC,P00118
P00354,postgresC,P00118
P00355,postgresB,P00118
P00356,postgresB,P00119
P00357,postgresA,P00119
P00358,postgresA,P00119
P00359,postgresA,P00120
P00360,postgresB,P00120
P00361,postgresA,P00120
P00362,postgresA,P00121
P00363,postgresB,P00121
P00364,postgresC,P00121
P00365,postgresB,P00122
P00366,postgresA,P00122
P00367,postgresB,P00122
P00368,postgresC,P00123
P00369,postgresC,P00123
P00370,postgresA,P00123
P00371,postgresA,P00124
P00372,postgresC,P00124
P00373,postgresA,P00124
P00374,postgresB,P00125
P00375,postgresC,P00125
P00376,postgresC,P00125
P00377,postgresB,P00126
P00378,postgresA,P00126
P00379,postgresA,P00126
P00380,postgresC,P00127
P00381,postgresA,P00127
P00382,postgresA,P00127
P00383,postgresC,P00128
P00384,postgresB,P00128
P00385,postgresA,P00128
P00386,postgresB,P00129
P00387,postgresB,P00129
P00388,postgresB,P00129
P00389,postgresA,P00130
P00390,postgresA,P00130
P00391,postgresC,P00130
P00392,postgresB,P00131
P00393,postgresC,P00131
P00394,postgresC,P00131
P00395,postgresA,P00132
P00396,postgresA,P00132
P00397,postgresB,P00132
P00398,postgresA,P00133
P00399,postgresA,P00133
P00400,postgresB,P00133
P00401,postgresA,P00134
P00402,postgresC,P00134
P00403,postgresC,P00134
P00404,postgresA,P00135
P00405,postgresB,P00135
P00406,postgresA,P00135
P00407,postgresC,P00136
P00408,postgresA,P00136
P00409,postgresA,P00136
P00410,postgresC,P00137
P00411,postgresB,P00137
P00412,postgresC,P00137
P00413,postgresC,P00138
P00414,postgresC,P00138
P00415,postgresC,P00138
P00416,postgresA,P00139
P00417,postgresA,P00139
P00418,postgresA,P00139
P00419,postgresC,P00140
P00420,postgresC,P00140
P00421,postgresB,P00140
P00422,postgresC,P00141
P00423,postgresA,P00141
P00424,postgresB,P00141
P00425,postgresA,P00142
P00426,postgresA,P00142
P00427,postgresA,P00142
P00428,postgresB,P00143
P00429,postgresC,P00143
P00430,postgresA,P00143
P00431,postgresA,P00144
P00432,postgresB,P00144
P00433,postgresB,P00144
P00434,postgresB,P00145
P00435,postgresC,P00145
P00436,postgresA,P00145
P00437,postgresC,P00146
P00438,postgresC,P00146
P00439,postgresA,P00146
P00440,postgresC,P00147
P00441,postgresC,P00147
P00442,postgresA,P00147
P00443,postgresC,P00148
P00444,postgresA,P00148
P00445,postgresC,P00148
P00446,postgresC,P00149
P00447,postgresB,P00149
P00448,postgresC,P00149
P00449,postgresC,P00150
P00450,postgresB,P00150
P00451,postgresB,P00150
P00452,postgresB,P00151
P00453,postgresC,P00151
P00454,postgresA,P00151
P00455,postgresA,P00152
P00456,postgresB,P00152
P00457,postgresB,P00152
P00458,postgresA,P00153
P00459,postgresB,P00153
P00460,postgresA,P00153
P00461,postgresA,P00154
P00462,postgresC,P00154
P00463,postgresC,P00154
P00464,postgresB,P00155
P00465,postgresA,P00155
P00466,postgresA,P00155
P00467,postgresA,P00156
P00468,postgresA,P00156
P00469,postgresC,P00156
P00470,postgresA,P00157
P00471,postgresA,P00157
P00472,postgresA,P00157
P00473,postgresB,P00158
P00474,postgresB,P00158
P00475,postgresA,P00158
P00476,postgresC,P00159
P00477,postgresC,P00159
P00478,postgresA,P00159
P00479,postgresA,P00160
P00480,postgresA,P00160
P00481,postgresC,P00160
P00482,postgresB,P00161
P00483,postgresB,P00161
P00484,postgresB,P00161
P00485,postgresA,P00162
P00486,postgresA,P00162
P00487,postgresA,P00162
P00488,postgresB,P00163
P00489,postgresB,P00163
P00490,postgresA,P00163
P00491,postgresC,P00164
P00492,postgresA,P00164
P00493,postgresB,P00164
P00494,postgresB,P00165
P00495,postgresA,P00165
P00496,postgresA,P00165
P00497,postgresB,P00166
P00498,postgresA,P00166
P00499,postgresC,P00166
P00500,postgresC,P00167
P00501,postgresC,P00167
P00502,postgresA,P00167
P00503,postgresC,P00168
P00504,postgresC,P00168
P00505,postgresC,P00168
P00506,postgresB,P00169
P00507,postgresC,P00169
P00508,postgresB,P00169
P00509,postgresC,P00170
P00510,postgresB,P00170
P00511,postgresA,P00170
P00512,postgresC,P00171
P00513,postgresC,P00171
P00514,postgresA,P00171
P00515,postgresB,P00172
P00516,postgresC,P00172
P00517,postgresC,P00172
P00518,postgresC,P00173
P00519,postgresA,P00173
P00520,postgresC,P00173
P00521,postgresB,P00174
P00522,postgresC,P00174
P00523,postgresC,P00174
P00524,postgresB,P00175
P00525,postgresA,P00175
P00526,postgresB,P00175
P00527,postgresA,P00176
P00528,postgresA,P00176
P00529,postgresC,P00176
P00530,postgresC,P00177
P00531,postgresC,P00177
P00532,postgresC,P00177
P00533,postgresC,P00178
P00534,postgresB,P00178
P00535,postgresC,P00178
P00536,postgresC,P00179
P00537,postgresC,P00179
P00538,postgresA,P00179
P00539,postgresB,P00180
P00540,postgresB,P00180
P00541,postgresA,P00180
P00542,postgresA,P00181
P00543,postgresB,P00181
P00544,postgresB,P00181
P00545,postgresB,P00182
P00546,postgresA,P00182
P00547,postgresC,P00182
P00548,postgresB,P00183
P00549,postgresC,P00183
P00550,postgresC,P00183
P00551,postgresA,P00184
P00552,postgresB,P00184
P00553,postgresB,P00184
P00554,postgresC,P00185
P00555,postgresB,P00185
P00556,postgresB,P00185
P00557,postgresA,P00186
P00558,postgresB,P00186
P00559,postgresC,P00186
P00560,postgresB,P00187
P00561,postgresB,P00187
P00562,postgresA,P00187
P00563,postgresA,P00188
P00564,postgresA,P00188
P00565,postgresC,P00188
P00566,postgresB,P00189
P00567,postgresC,P00189
P00568,postgresB,P00189
P00569,postgresA,P00190
P00570,postgresB,P00190
P00571,postgresB,P00190
P00572,postgresB,P00191
P00573,postgresB,P00191
P00574,postgresB,P00191
P00575,postgresC,P00192
P00576,postgresC,P00192
P00577,postgresB,P00192
P00578,postgresA,P00193
P00579,postgresA,P00193
P00580,postgresC,P00193
P00581,postgresC,P00194
P00582,postgresA,P00194
P00583,postgresB,P00194
P00584,postgresB,P00195
P00585,postgresA,P00195
P00586,postgresA,P00195
P00587,postgresA,P00196
P00588,postgresB,P00196
P00589,postgresB,P00196
P00590,postgresC,P00197
P00591,postgresC,P00197
P00592,postgresB,P00197
P00593,postgresC,P00198
P00594,postgresB,P00198
P00595,postgresB,P00198
P00596,postgresC,P00199
P00597,postgresB,P00199
P00598,postgresC,P00199
P00599,postgresB,P00200
P00600,postgresC,P00200
P00601,postgresC,P00200
P00602,postgresA,P00201
P00603,postgresB,P00201
P00604,postgresB,P00201
P00605,postgresB,P00202
P00606,postgresB,P00202
P00607,postgresC,P00202
P00608,postgresB,P00203
P00609,postgresA,P00203
P00610,postgresC,P00203
P00611,postgresC,P00204
P00612,postgresB,P00204
P00613,postgresC,P00204
P00614,postgresC,P00205
P00615,postgresC,P00205
P00616,postgresC,P00205
P00617,postgresA,P00206
P00618,postgresA,P00206
P00619,postgresC,P00206
P00620,postgresB,P00207
P00621,postgresA,P00207
P00622,postgresC,P00207
P00623,postgresA,P00208
P00624,postgresB,P00208
P00625,postgresC,P00208
P00626,postgresB,P00209
P00627,postgresA,P00209
P00628,postgresB,P00209
P00629,postgresA,P00210
P00630,postgresA,P00210
P00631,postgresA,P00210
P00632,postgresA,P00211
P00633,postgresC,P00211
P00634,postgresA,P00211
P00635,postgresB,P00212
P00636,postgresB,P00212
P00637,postgresC,P00212
P00638,postgresC,P00213
P00639,postgresC,P00213
P00640,postgresC,P00213
P00641,postgresC,P00214
P00642,postgresB,P00214
P00643,postgresC,P00214
P00644,postgresB,P00215
P00645,postgresB,P00215
P00646,postgresC,P00215
P00647,postgresB,P00216
P00648,postgresB,P00216
P00649,postgresC,P00216
P00650,postgresB,P00217
P00651,postgresB,P00217
P00652,postgresA,P00217
P00653,postgresB,P00218
P00654,postgresB,P00218
P00655,postgresB,P00218
P00656,postgresA,P00219
P00657,postgresA,P00219
P00658,postgresC,P00219
P00659,postgresB,P00220
P00660,postgresC,P00220
P00661,postgresA,P00220
P00662,postgresA,P00221
P00663,postgresB,P00221
P00664,postgresB,P00221
P00665,postgresB,P00222
P00666,postgresB,P00222
P00667,postgresB,P00222
P00668,postgresC,P00223
P00669,postgresB,P00223
P00670,postgresA,P00223
P00671,postgresB,P00224
P00672,postgresB,P00224
P00673,postgresB,P00224
P00674,postgresB,P00225
P00675,postgresA,P00225
P00676,postgresB,P00225
P00677,postgresC,P00226
P00678,postgresC,P00226
P00679,postgresB,P00226
P00680,postgresC,P00227
P00681,postgresC,P00227
P00682,postgresB,P00227
P00683,postgresB,P00228
P00684,postgresC,P00228
P00685,postgresA,P00228
P00686,postgresA,P00229
P00687,postgresA,P00229
P00688,postgresB,P00229
P00689,postgresB,P00230
P00690,postgresC,P00230
P00691,postgresA,P00230
P00692,postgresB,P00231
P00693,postgresB,P00231
P00694,postgresB,P00231
P00695,postgresC,P00232
P00696,postgresC,P00232
P00697,postgresC,P00232
P00698,postgresB,P00233
P00699,postgresC,P00233
P00700,postgresC,P00233
P00701,postgresB,P00234
P00702,postgresC,P00234
P00703,postgresB,P00234
P00704,postgresB,P00235
P00705,postgresC,P00235
P00706,postgresA,P00235
P00707,postgresB,P00236
P00708,postgresB,P00236
P00709,postgresC,P00236
P00710,postgresC,P00237
P00711,postgresA,P00237
P00712,postgresB,P00237
P00713,postgresA,P00238
P00714,postgresC,P00238
P00715,postgresC,P00238
P00716,postgresA,P00239
P00717,postgresA,P00239
P00718,postgresB,P00239
P00719,postgresC,P00240
P00720,postgresC,P00240
P00721,postgresA,P00240
P00722,postgresB,P00241
P00723,postgresC,P00241
P00724,postgresB,P00241
P00725,postgresA,P00242
P00726,postgresA,P00242
P00727,postgresC,P00242
P00728,postgresB,P00243
P00729,postgresC,P00243
P00730,postgresA,P00243
P00731,postgresC,P00244
P00732,postgresA,P00244
P00733,postgresA,P00244
P00734,postgresC,P00245
P00735,postgresC,P00245
P00736,postgresC,P00245
P00737,postgresB,P00246
P00738,postgresA,P00246
P00739,postgresA,P00246
P00740,postgresC,P00247
P00741,postgresA,P00247
P00742,postgresC,P00247
P00743,postgresC,P00248
P00744,postgresA,P00248
P00745,postgresB,P00248
P00746,postgresA,P00249
P00747,postgresC,P00249
P00748,postgresC,P00249
P00749,postgresC,P00250
P00750,postgresA,P00250
P00751,postgresA,P00250
P00752,postgresC,P00251
P00753,postgresB,P00251
P00754,postgresA,P00251
P00755,postgresC,P00252
P00756,postgresC,P00252
P00757,postgresA,P00252
P00758,postgresA,P00253
P00759,postgresA,P00253
P00760,postgresA,P00253
P00761,postgresB,P00254
P00762,postgresB,P00254
P00763,postgresC,P00254
P00764,postgresC,P00255
P00765,postgresC,P00255
P00766,postgresC,P00255
P00767,postgresA,P00256
P00768,postgresB,P00256
P00769,postgresB,P00256
P00770,postgresB,P00257
P00771,postgresC,P00257
P00772,postgresA,P00257
P00773,postgresC,P00258
P00774,postgresC,P00258
P00775,postgresA,P00258
P00776,postgresB,P00259
P00777,postgresA,P00259
P00778,postgresB,P00259
P00779,postgresB,P00260
P00780,postgresA,P00260
P00781,postgresA,P00260
P00782,postgresA,P00261
P00783,postgresC,P00261
P00784,postgresA,P00261
P00785,postgresA,P00262
P00786,postgresB,P00262
P00787,postgresC,P00262
P00788,postgresC,P00263
P00789,postgresC,P00263
P00790,postgresB,P00263
P00791,postgresA,P00264
P00792,postgresA,P00264
P00793,postgresC,P00264
P00794,postgresB,P00265
P00795,postgresC,P00265
P00796,postgresB,P00265
P00797,postgresB,P00266
P00798,postgresA,P00266
P00799,postgresA,P00266
P00800,postgresB,P00267
P00801,postgresA,P00267
P00802,postgresB,P00267
P00803,postgresC,P00268
P00804,postgresA,P00268
P00805,postgresB,P00268
P00806,postgresC,P00269
P00807,postgresC,P00269
P00808,postgresB,P00269
P00809,postgresA,P00270
P00810,postgresB,P00270
P00811,postgresC,P00270
P00812,postgresB,P00271
P00813,postgresB,P00271
P00814,postgresC,P00271
P00815,postgresA,P00272
P00816,postgresA,P00272
P00817,postgresB,P00272
P00818,postgresA,P00273
P00819,postgresA,P00273
P00820,postgresA,P00273
P00821,postgresA,P00274
P00822,postgresB,P00274
P00823,postgresC,P00274
P00824,postgresC,P00275
P00825,postgresB,P00275
P00826,postgresA,P00275
P00827,postgresA,P00276
P00828,postgresC,P00276
P00829,postgresC,P00276
P00830,postgresC,P00277
P00831,postgresC,P00277
P00832,postgresB,P00277
P00833,postgresA,P00278
P00834,postgresA,P00278
P00835,postgresA,P00278
P00836,postgresA,P00279
P00837,postgresB,P00279
P00838,postgresC,P00279
P00839,postgresB,P00280
P00840,postgresC,P00280
P00841,postgresA,P00280
P00842,postgresB,P00281
P00843,postgresB,P00281
P00844,postgresA,P00281
P00845,postgresA,P00282
P00846,postgresA,P00282
P00847,postgresB,P00282
P00848,postgresC,P00283
P00849,postgresA,P00283
P00850,postgresA,P00283
P00851,postgresC,P00284
P00852,postgresC,P00284
P00853,postgresC,P00284
P00854,postgresC,P00285
P00855,postgresC,P00285
P00856,postgresB,P00285
P00857,postgresB,P00286
P00858,postgresA,P00286
P00859,postgresB,P00286
P00860,postgresA,P00287
P00861,postgresC,P00287
P00862,postgresC,P00287
P00863,postgresB,P00288
P00864,postgresA,P00288
P00865,postgresC,P00288
P00866,postgresA,P00289
P00867,postgresB,P00289
P00868,postgresA,P00289
P00869,postgresC,P00290
P00870,postgresC,P00290
P00871,postgresC,P00290
P00872,postgresC,P00291
P00873,postgresA,P00291
P00874,postgresB,P00291
P00875,postgresB,P00292
P00876,postgresC,P00292
P00877,postgresA,P00292
P00878,postgresA,P00293
P00879,postgresB,P00293
P00880,postgresC,P00293
P00881,postgresB,P00294
P00882,postgresC,P00294
P00883,postgresB,P00294
P00884,postgresA,P00295
P00885,postgresA,P00295
P00886,postgresA,P00295
P00887,postgresA,P00296
P00888,postgresA,P00296
P00889,postgresB,P00296
P00890,postgresA,P00297
P00891,postgresA,P00297
P00892,postgresC,P00297
P00893,postgresC,P00298
P00894,postgresB,P00298
P00895,postgresA,P00298
P00896,postgresB,P00299
P00897,postgresC,P00299
P00898,postgresB,P00299
P00899,postgresA,P00300
P00900,postgresB,P00300
P00901,postgresA,P00300
P00902,postgresC,P00301
P00903,postgresB,P00301
P00904,postgresA,P00301
P00905,postgresA,P00302
P00906,postgresB,P00302
P00907,postgresC,P00302
P00908,postgresB,P00303
P00909,postgresA,P00303
P00910,postgresC,P00303
P00911,postgresB,P00304
P00912,postgresB,P00304
P00913,postgresB,P00304
P00914,postgresA,P00305
P00915,postgresC,P00305
P00916,postgresC,P00305
P00917,postgresB,P00306
P00918,postgresC,P00306
P00919,postgresC,P00306
P00920,postgresC,P00307
P00921,postgresC,P00307
P00922,postgresC,P00307
P00923,postgresB,P00308
P00924,postgresC,P00308
P00925,postgresA,P00308
P00926,postgresB,P00309
P00927,postgresB,P00309
P00928,postgresC,P00309
P00929,postgresB,P00310
P00930,postgresB,P00310
P00931,postgresB,P00310
P00932,postgresB,P00311
P00933,postgresB,P00311
P00934,postgresA,P00311
P00935,postgresA,P00312
P00936,postgresB,P00312
P00937,postgresA,P00312
P00938,postgresB,P00313
P00939,postgresC,P00313
P00940,postgresC,P00313
P00941,postgresA,P00314
P00942,postgresA,P00314
P00943,postgresC,P00314
P00944,postgresC,P00315
P00945,postgresA,P00315
P00946,postgresA,P00315
P00947,postgresA,P00316
P00948,postgresA,P00316
P00949,postgresA,P00316
P00950,postgresC,P00317
P00951,postgresC,P00317
P00952,postgresB,P00317
P00953,postgresC,P00318
P00954,postgresA,P00318
P00955,postgresA,P00318
P00956,postgresB,P00319
P00957,postgresB,P00319
P00958,postgresA,P00319
P00959,postgresB,P00320
P00960,postgresC,P00320
P00961,postgresB,P00320
P00962,postgresB,P00321
P00963,postgresA,P00321
P00964,postgresA,P00321
P00965,postgresB,P00322
P00966,postgresC,P00322
P00967,postgresA,P00322
P00968,postgresB,P00323
P00969,postgresC,P00323
P00970,postgresB,P00323
P00971,postgresB,P00324
P00972,postgresA,P00324
P00973,postgresC,P00324
P00974,postgresC,P00325
P00975,postgresB,P00325
P00976,postgresB,P00325
P00977,postgresC,P00326
P00978,postgresB,P00326
P00979,postgresB,P00326
P00980,postgresA,P00327
P00981,postgresB,P00327
P00982,postgresB,P00327
P00983,postgresC,P00328
P00984,postgresC,P00328
P00985,postgresB,P00328
P00986,postgresB,P00329
P00987,postgresB,P00329
P00988,postgresA,P00329
P00989,postgresB,P00330
P00990,postgresC,P00330
P00991,postgresB,P00330
P00992,postgresC,P00331
P00993,postgresB,P00331
P00994,postgresC,P00331
P00995,postgresC,P00332
P00996,postgresC,P00332
P00997,postgresA,P00332
P00998,postgresA,P00333
P00999,postgresC,P00333
P01000,postgresA,P00333
P01001,postgresA,P00334
P01002,postgresA,P00334
P01003,postgresC,P00334
P01004,postgresB,P00335
P01005,postgresA,P00335
P01006,postgresB,P00335
P01007,postgresC,P00336
P01008,postgresB,P00336
P01009,postgresC,P00336
P01010,postgresB,P00337
P01011,postgresB,P00337
P01012,postgresC,P00337
P01013,postgresC,P00338
P01014,postgresC,P00338
P01015,postgresC,P00338
P01016,postgresA,P00339
P01017,postgresB,P00339
P01018,postgresA,P00339
P01019,postgresC,P00340
P01020,postgresC,P00340
P01021,postgresB,P00340
P01022,postgresC,P00341
P01023,postgresA,P00341
P01024,postgresB,P00341
P01025,postgresA,P00342
P01026,postgresB,P00342
P01027,postgresB,P00342
P01028,postgresB,P00343
P01029,postgresB,P00343
P01030,postgresC,P00343
P01031,postgresA,P00344
P01032,postgresB,P00344
P01033,postgresB,P00344
P01034,postgresC,P00345
P01035,postgresB,P00345
P01036,postgresB,P00345
P01037,postgresB,P00346
P01038,postgresB,P00346
P01039,postgresA,P00346
P01040,postgresC,P00347
P01041,postgresA,P00347
P01042,postgresA,P00347
P01043,postgresA,P00348
P01044,postgresB,P00348
P01045,postgresB,P00348
P01046,postgresC,P00349
P01047,postgresB,P00349
P01048,postgresA,P00349
P01049,postgresC,P00350
P01050,postgresB,P00350
P01051,postgresB,P00350
P01052,postgresC,P00351
P01053,postgresA,P00351
P01054,postgresA,P00351
P01055,postgresA,P00352
P01056,postgresC,P00352
P01057,postgresB,P00352
P01058,postgresA,P00353
P01059,postgresC,P00353
P01060,postgresC,P00353
P01061,postgresB,P00354
P01062,postgresB,P00354
P01063,postgresA,P00354
P01064,postgresA,P00355
P01065,postgresC,P00355
P01066,postgresC,P00355
P01067,postgresB,P00356
P01068,postgresB,P00356
P01069,postgresC,P00356
P01070,postgresA,P00357
P01071,postgresC,P00357
P01072,postgresC,P00357
P01073,postgresC,P00358
P01074,postgresC,P00358
