partsid,datalink,cfp,parents_partsid,totalcfp
P00096,postgresC,1.374,P00032,0.0
P00097,postgresA,2.694,P00032,0.0
P00098,postgresC,3.795,P00033,0.0
P00099,postgresB,6.698,P00033,0.0
P00100,postgresC,6.048,P00033,0.0
P00101,postgresB,0.772,P00034,0.0
P00102,postgresC,1.038,P00034,0.0
P00103,postgresA,8.581,P00034,0.0
P00104,postgresB,5.901,P00035,0.0
P00105,postgresB,7.642,P00035,0.0
P00106,postgresA,1.321,P00035,0.0
P00107,postgresC,5.296,P00036,0.0
P00108,postgresB,6.522,P00036,0.0
P00109,postgresA,5.992,P00036,0.0
P00110,postgresB,1.336,P00037,0.0
P00111,postgresA,0.081,P00037,0.0
P00112,postgresA,9.794,P00037,0.0
P00113,postgresB,7.91,P00038,0.0
P00114,postgresC,7.891,P00038,0.0
P00115,postgresC,7.941,P00038,0.0
P00116,postgresC,9.844,P00039,0.0
P00117,postgresC,6.329,P00039,0.0
P00118,postgresB,1.497,P00039,0.0
P00119,postgresA,2.133,P00040,0.0
P00120,postgresC,8.096,P00040,0.0
P00121,postgresB,1.19,P00040,0.0
P00122,postgresC,1.758,P00041,0.0
P00123,postgresB,1.096,P00041,0.0
P00124,postgresB,6.566,P00041,0.0
P00125,postgresC,3.856,P00042,0.0
P00126,postgresB,1.758,P00042,0.0
P00127,postgresA,3.576,P00042,0.0
P00128,postgresB,6.542,P00043,0.0
P00129,postgresC,5.095,P00043,0.0
P00130,postgresA,9.366,P00043,0.0
P00131,postgresA,9.877,P00044,0.0
P00132,postgresA,3.4,P00044,0.0
P00133,postgresB,3.701,P00044,0.0
P00134,postgresC,0.502,P00045,0.0
P00135,postgresC,2.339,P00045,0.0
P00136,postgresA,0.384,P00045,0.0
P00137,postgresC,1.232,P00046,0.0
P00138,postgresA,4.567,P00046,0.0
P00139,postgresC,4.459,P00046,0.0
P00140,postgresA,0.389,P00047,0.0
P00141,postgresC,0.919,P00047,0.0
P00142,postgresA,2.333,P00047,0.0
P00143,postgresA,9.452,P00048,0.0
P00144,postgresC,3.617,P00048,0.0
P00145,postgresA,1.59,P00048,0.0
P00146,postgresA,9.168,P00049,0.0
P00147,postgresB,5.7,P00049,0.0
P00148,postgresA,6.803,P00049,0.0
P00149,postgresA,2.341,P00050,0.0
P00150,postgresC,7.186,P00050,0.0
P00151,postgresC,5.493,P00050,0.0
P00152,postgresB,3.559,P00051,0.0
P00153,postgresB,8.095,P00051,0.0
P00154,postgresC,4.542,P00051,0.0
P00155,postgresB,0.401,P00052,0.0
P00156,postgresB,0.696,P00052,0.0
P00157,postgresC,2.854,P00052,0.0
P00158,postgresA,7.66,P00053,0.0
P00159,postgresB,2.865,P00053,0.0
P00160,postgresB,4.518,P00053,0.0
P00161,postgresA,8.258,P00054,0.0
P00162,postgresC,1.73,P00054,0.0
P00163,postgresB,7.598,P00054,0.0
P00164,postgresB,2.943,P00055,0.0
P00165,postgresB,6.613,P00055,0.0
P00166,postgresC,0.246,P00055,0.0
P00167,postgresC,6.731,P00056,0.0
P00168,postgresB,4.356,P00056,0.0
P00169,postgresB,8.251,P00056,0.0
P00170,postgresC,5.249,P00057,0.0
P00171,postgresB,5.514,P00057,0.0
P00172,postgresB,0.823,P00057,0.0
P00173,postgresC,2.839,P00058,0.0
P00174,postgresB,5.793,P00058,0.0
P00175,postgresA,7.26,P00058,0.0
P00176,postgresC,8.351,P00059,0.0
P00177,postgresA,6.783,P00059,0.0
P00178,postgresB,5.959,P00059,0.0
P00179,postgresB,0.257,P00060,0.0
P00180,postgresB,5.364,P00060,0.0
P00181,postgresB,7.548,P00060,0.0
P00182,postgresC,1.936,P00061,0.0
P00183,postgresB,9.862,P00061,0.0
P00184,postgresC,6.929,P00061,0.0
P00185,postgresC,8.821,P00062,0.0
P00186,postgresB,4.486,P00062,0.0
P00187,postgresC,7.138,P00062,0.0
P00188,postgresA,6.166,P00063,0.0
P00189,postgresA,3.118,P00063,0.0
P00190,postgresC,3.163,P00063,0.0
P00191,postgresB,3.575,P00064,0.0
P00192,postgresC,6.211,P00064,0.0
P00193,postgresC,6.291,P00064,0.0
P00194,postgresB,6.464,P00065,0.0
P00195,postgresA,6.776,P00065,0.0
P00196,postgresB,9.779,P00065,0.0
P00197,postgresC,3.468,P00066,0.0
P00198,postgresB,5.42,P00066,0.0
P00199,postgresA,4.795,P00066,0.0
P00200,postgresA,8.625,P00067,0.0
P00201,postgresA,3.391,P00067,0.0
P00202,postgresC,3.501,P00067,0.0
P00203,postgresB,2.709,P00068,0.0
P00204,postgresC,8.944,P00068,0.0
P00205,postgresA,6.271,P00068,0.0
P00206,postgresA,0.395,P00069,0.0
P00207,postgresB,5.887,P00069,0.0
P00208,postgresA,4.979,P00069,0.0
P00209,postgresC,3.418,P00070,0.0
P00210,postgresA,6.559,P00070,0.0
P00211,postgresA,8.665,P00070,0.0
P00212,postgresC,6.932,P00071,0.0
P00213,postgresA,2.813,P00071,0.0
P00214,postgresB,4.302,P00071,0.0
P00215,postgresC,9.109,P00072,0.0
P00216,postgresB,7.676,P00072,0.0
P00217,postgresB,4.32,P00072,0.0
P00218,postgresB,7.163,P00073,0.0
P00219,postgresB,0.792,P00073,0.0
P00220,postgresA,5.242,P00073,0.0
P00221,postgresA,3.047,P00074,0.0
P00222,postgresA,4.208,P00074,0.0
P00223,postgresA,0.011,P00074,0.0
P00224,postgresA,5.808,P00075,0.0
P00225,postgresA,9.933,P00075,0.0
P00226,postgresC,6.869,P00075,0.0
P00227,postgresA,1.746,P00076,0.0
P00228,postgresC,0.685,P00076,0.0
P00229,postgresC,6.701,P00076,0.0
P00230,postgresA,7.73,P00077,0.0
P00231,postgresC,0.532,P00077,0.0
P00232,postgresA,4.219,P00077,0.0
P00233,postgresA,9.088,P00078,0.0
P00234,postgresC,8.284,P00078,0.0
P00235,postgresB,7.662,P00078,0.0
P00236,postgresB,0.889,P00079,0.0
P00237,postgresB,7.021,P00079,0.0
P00238,postgresB,7.587,P00079,0.0
P00239,postgresC,7.055,P00080,0.0
P00240,postgresC,8.235,P00080,0.0
P00241,postgresC,3.168,P00080,0.0
P00242,postgresC,2.201,P00081,0.0
P00243,postgresA,5.529,P00081,0.0
P00244,postgresB,5.423,P00081,0.0
P00245,postgresA,0.774,P00082,0.0
P00246,postgresB,2.564,P00082,0.0
P00247,postgresC,6.917,P00082,0.0
P00248,postgresA,3.661,P00083,0.0
P00249,postgresA,4.528,P00083,0.0
P00250,postgresB,2.382,P00083,0.0
P00251,postgresA,3.969,P00084,0.0
P00252,postgresA,3.038,P00084,0.0
P00253,postgresB,2.167,P00084,0.0
P00254,postgresC,5.77,P00085,0.0
P00255,postgresB,3.059,P00085,0.0
P00256,postgresA,4.524,P00085,0.0
P00257,postgresA,7.291,P00086,0.0
P00258,postgresA,2.554,P00086,0.0
P00259,postgresA,5.712,P00086,0.0
P00260,postgresB,2.472,P00087,0.0
P00261,postgresB,5.727,P00087,0.0
P00262,postgresA,2.896,P00087,0.0
P00263,postgresB,5.598,P00088,0.0
P00264,postgresB,6.933,P00088,0.0
P00265,postgresC,4.965,P00088,0.0
P00266,postgresA,9.38,P00089,0.0
P00267,postgresC,4.83,P00089,0.0
P00268,postgresB,5.057,P00089,0.0
P00269,postgresA,2.201,P00090,0.0
P00270,postgresC,9.296,P00090,0.0
P00271,postgresC,0.811,P00090,0.0
P00272,postgresB,3.457,P00091,0.0
P00273,postgresB,9.806,P00091,0.0
P00274,postgresC,8.568,P00091,0.0
P00275,postgresA,0.207,P00092,0.0
P00276,postgresC,0.727,P00092,0.0
P00277,postgresA,6.814,P00092,0.0
P00278,postgresC,9.719,P00093,0.0
P00279,postgresA,5.362,P00093,0.0
P00280,postgresB,7.042,P00093,0.0
P00281,postgresC,3.382,P00094,0.0
P00282,postgresC,4.048,P00094,0.0
P00283,postgresC,8.915,P00094,0.0
P00284,postgresB,0.959,P00095,0.0
P00285,postgresB,3.796,P00095,0.0
P00286,postgresB,3.547,P00095,0.0
P00287,postgresA,4.008,P00096,0.0
P00288,postgresA,9.466,P00096,0.0
P00289,postgresC,7.423,P00096,0.0
P00290,postgresA,7.993,P00097,0.0
P00291,postgresA,5.227,P00097,0.0
P00292,postgresB,5.954,P00097,0.0
P00293,postgresC,6.865,P00098,0.0
P00294,postgresC,4.362,P00098,0.0
P00295,postgresC,5.036,P00098,0.0
P00296,postgresA,7.463,P00099,0.0
P00297,postgresC,3.437,P00099,0.0
P00298,postgresB,2.025,P00099,0.0
P00299,postgresA,3.649,P00100,0.0
P00300,postgresB,7.417,P00100,0.0
P00301,postgresA,3.311,P00100,0.0
P00302,postgresC,1.155,P00101,0.0
P00303,postgresB,1.241,P00101,0.0
P00304,postgresA,1.818,P00101,0.0
P00305,postgresB,7.986,P00102,0.0
P00306,postgresB,1.233,P00102,0.0
P00307,postgresB,5.791,P00102,0.0
P00308,postgresA,8.504,P00103,0.0
P00309,postgresC,9.186,P00103,0.0
P00310,postgresB,5.268,P00103,0.0
P00311,postgresB,6.824,P00104,0.0
P00312,postgresC,3.896,P00104,0.0
P00313,postgresB,3.32,P00104,0.0
P00314,postgresC,0.33,P00105,0.0
P00315,postgresA,7.199,P00105,0.0
P00316,postgresB,1.667,P00105,0.0
P00317,postgresB,1.691,P00106,0.0
P00318,postgresB,8.436,P00106,0.0
P00319,postgresC,1.257,P00106,0.0
P00320,postgresC,5.218,P00107,0.0
P00321,postgresC,5.746,P00107,0.0
P00322,postgresA,0.267,P00107,0.0
P00323,postgresC,3.944,P00108,0.0
P00324,postgresA,9.463,P00108,0.0
P00325,postgresA,3.619,P00108,0.0
P00326,postgresB,3.498,P00109,0.0
P00327,postgresC,2.046,P00109,0.0
P00328,postgresC,8.839,P00109,0.0
P00329,postgresC,7.819,P00110,0.0
P00330,postgresA,2.253,P00110,0.0
P00331,postgresC,7.922,P00110,0.0
P00332,postgresC,4.67,P00111,0.0
P00333,postgresB,1.575,P00111,0.0
P00334,postgresA,0.929,P00111,0.0
P00335,postgresC,4.461,P00112,0.0
P00336,postgresB,6.269,P00112,0.0
P00337,postgresB,6.239,P00112,0.0
P00338,postgresC,8.969,P00113,0.0
P00339,postgresC,6.421,P00113,0.0
P00340,postgresA,0.094,P00113,0.0
P00341,postgresC,4.806,P00114,0.0
P00342,postgresC,1.779,P00114,0.0
P00343,postgresB,4.861,P00114,0.0
P00344,postgresB,1.18,P00115,0.0
P00345,postgresA,5.443,P00115,0.0
P00346,postgresC,1.268,P00115,0.0
P00347,postgresC,2.347,P00116,0.0
P00348,postgresB,9.476,P00116,0.0
P00349,postgresA,4.388,P00116,0.0
P00350,postgresA,8.597,P00117,0.0
P00351,postgresB,6.326,P00117,0.0
P00352,postgresA,1.29,P00117,0.0
P00353,postgresC,3.649,P00118,0.0
P00354,postgresC,7.3,P00118,0.0
P00355,postgresB,3.535,P00118,0.0
P00356,postgresB,3.334,P00119,0.0
P00357,postgresA,7.445,P00119,0.0
P00358,postgresA,6.134,P00119,0.0
P00359,postgresA,5.493,P00120,0.0
P00360,postgresB,9.779,P00120,0.0
P00361,postgresA,4.892,P00120,0.0
P00362,postgresA,5.854,P00121,0.0
P00363,postgresB,8.654,P00121,0.0
P00364,postgresC,8.059,P00121,0.0
P00365,postgresB,1.552,P00122,0.0
P00366,postgresA,8.95,P00122,0.0
P00367,postgresB,5.022,P00122,0.0
P00368,postgresC,4.195,P00123,0.0
P00369,postgresC,9.432,P00123,0.0
P00370,postgresA,2.666,P00123,0.0
P00371,postgresA,9.733,P00124,0.0
P00372,postgresC,5.498,P00124,0.0
P00373,postgresA,6.622,P00124,0.0
P00374,postgresB,4.399,P00125,0.0
P00375,postgresC,9.231,P00125,0.0
P00376,postgresC,2.715,P00125,0.0
P00377,postgresB,8.821,P00126,0.0
P00378,postgresA,7.99,P00126,0.0
P00379,postgresA,6.162,P00126,0.0
P00380,postgresC,6.93,P00127,0.0
P00381,postgresA,3.934,P00127,0.0
P00382,postgresA,5.118,P00127,0.0
P00383,postgresC,4.561,P00128,0.0
P00384,postgresB,1.79,P00128,0.0
P00385,postgresA,9.422,P00128,0.0
P00386,postgresB,3.192,P00129,0.0
P00387,postgresB,5.153,P00129,0.0
P00388,postgresB,8.257,P00129,0.0
P00389,postgresA,0.865,P00130,0.0
P00390,postgresA,1.0,P00130,0.0
P00391,postgresC,2.355,P00130,0.0
P00392,postgresB,2.945,P00131,0.0
P00393,postgresC,6.811,P00131,0.0
P00394,postgresC,1.772,P00131,0.0
P00395,postgresA,4.715,P00132,0.0
P00396,postgresA,2.734,P00132,0.0
P00397,postgresB,8.147,P00132,0.0
P00398,postgresA,5.691,P00133,0.0
P00399,postgresA,6.182,P00133,0.0
P00400,postgresB,0.282,P00133,0.0
P00401,postgresA,6.197,P00134,0.0
P00402,postgresC,9.516,P00134,0.0
P00403,postgresC,5.817,P00134,0.0
P00404,postgresA,2.961,P00135,0.0
P00405,postgresB,1.647,P00135,0.0
P00406,postgresA,5.812,P00135,0.0
P00407,postgresC,1.276,P00136,0.0
P00408,postgresA,8.192,P00136,0.0
P00409,postgresA,2.617,P00136,0.0
P00410,postgresC,6.23,P00137,0.0
P00411,postgresB,1.72,P00137,0.0
P00412,postgresC,5.008,P00137,0.0
P00413,postgresC,2.452,P00138,0.0
P00414,postgresC,7.223,P00138,0.0
P00415,postgresC,0.301,P00138,0.0
P00416,postgresA,9.124,P00139,0.0
P00417,postgresA,2.39,P00139,0.0
P00418,postgresA,0.016,P00139,0.0
P00419,postgresC,9.514,P00140,0.0
P00420,postgresC,3.648,P00140,0.0
P00421,postgresB,0.751,P00140,0.0
P00422,postgresC,7.781,P00141,0.0
P00423,postgresA,1.758,P00141,0.0
P00424,postgresB,7.071,P00141,0.0
P00425,postgresA,5.817,P00142,0.0
P00426,postgresA,8.006,P00142,0.0
P00427,postgresA,9.85,P00142,0.0
P00428,postgresB,4.604,P00143,0.0
P00429,postgresC,7.516,P00143,0.0
P00430,postgresA,1.629,P00143,0.0
P00431,postgresA,6.445,P00144,0.0
P00432,postgresB,8.738,P00144,0.0
P00433,postgresB,9.296,P00144,0.0
P00434,postgresB,7.334,P00145,0.0
P00435,postgresC,7.366,P00145,0.0
P00436,postgresA,9.959,P00145,0.0
P00437,postgresC,2.376,P00146,0.0
P00438,postgresC,4.295,P00146,0.0
P00439,postgresA,5.393,P00146,0.0
P00440,postgresC,4.867,P00147,0.0
P00441,postgresC,8.042,P00147,0.0
P00442,postgresA,0.845,P00147,0.0
P00443,postgresC,5.021,P00148,0.0
P00444,postgresA,8.893,P00148,0.0
P00445,postgresC,3.775,P00148,0.0
P00446,postgresC,9.34,P00149,0.0
P00447,postgresB,3.313,P00149,0.0
P00448,postgresC,0.459,P00149,0.0
P00449,postgresC,6.823,P00150,0.0
P00450,postgresB,8.915,P00150,0.0
P00451,postgresB,6.403,P00150,0.0
P00452,postgresB,3.265,P00151,0.0
P00453,postgresC,7.298,P00151,0.0
P00454,postgresA,3.131,P00151,0.0
P00455,postgresA,6.988,P00152,0.0
P00456,postgresB,8.565,P00152,0.0
P00457,postgresB,8.937,P00152,0.0
P00458,postgresA,6.122,P00153,0.0
P00459,postgresB,0.931,P00153,0.0
P00460,postgresA,4.614,P00153,0.0
P00461,postgresA,0.765,P00154,0.0
P00462,postgresC,1.352,P00154,0.0
P00463,postgresC,2.827,P00154,0.0
P00464,postgresB,6.04,P00155,0.0
P00465,postgresA,1.551,P00155,0.0
P00466,postgresA,2.592,P00155,0.0
P00467,postgresA,9.17,P00156,0.0
P00468,postgresA,2.064,P00156,0.0
P00469,postgresC,2.555,P00156,0.0
P00470,postgresA,8.143,P00157,0.0
P00471,postgresA,9.645,P00157,0.0
P00472,postgresA,6.408,P00157,0.0
P00473,postgresB,0.441,P00158,0.0
P00474,postgresB,6.256,P00158,0.0
P00475,postgresA,1.152,P00158,0.0
P00476,postgresC,1.512,P00159,0.0
P00477,postgresC,6.849,P00159,0.0
P00478,postgresA,5.135,P00159,0.0
P00479,postgresA,9.619,P00160,0.0
P00480,postgresA,4.743,P00160,0.0
P00481,postgresC,7.858,P00160,0.0
P00482,postgresB,4.148,P00161,0.0
P00483,postgresB,8.316,P00161,0.0
P00484,postgresB,6.904,P00161,0.0
P00485,postgresA,8.367,P00162,0.0
P00486,postgresA,1.876,P00162,0.0
P00487,postgresA,0.056,P00162,0.0
P00488,postgresB,5.947,P00163,0.0
P00489,postgresB,2.611,P00163,0.0
P00490,postgresA,4.508,P00163,0.0
P00491,postgresC,3.3,P00164,0.0
P00492,postgresA,2.288,P00164,0.0
P00493,postgresB,2.813,P00164,0.0
P00494,postgresB,2.835,P00165,0.0
P00495,postgresA,2.021,P00165,0.0
P00496,postgresA,1.006,P00165,0.0
P00497,postgresB,1.999,P00166,0.0
P00498,postgresA,8.978,P00166,0.0
P00499,postgresC,3.343,P00166,0.0
P00500,postgresC,2.692,P00167,0.0
P00501,postgresC,2.203,P00167,0.0
P00502,postgresA,7.057,P00167,0.0
P00503,postgresC,9.563,P00168,0.0
P00504,postgresC,6.439,P00168,0.0
P00505,postgresC,4.151,P00168,0.0
P00506,postgresB,8.611,P00169,0.0
P00507,postgresC,5.24,P00169,0.0
P00508,postgresB,1.227,P00169,0.0
P00509,postgresC,5.422,P00170,0.0
P00510,postgresB,7.378,P00170,0.0
P00511,postgresA,8.382,P00170,0.0
P00512,postgresC,5.367,P00171,0.0
P00513,postgresC,0.438,P00171,0.0
P00514,postgresA,6.062,P00171,0.0
P00515,postgresB,8.741,P00172,0.0
P00516,postgresC,6.074,P00172,0.0
P00517,postgresC,2.148,P00172,0.0
P00518,postgresC,4.486,P00173,0.0
P00519,postgresA,6.406,P00173,0.0
P00520,postgresC,0.829,P00173,0.0
P00521,postgresB,0.475,P00174,0.0
P00522,postgresC,8.072,P00174,0.0
P00523,postgresC,4.594,P00174,0.0
P00524,postgresB,9.6,P00175,0.0
P00525,postgresA,0.17,P00175,0.0
P00526,postgresB,0.411,P00175,0.0
P00527,postgresA,5.484,P00176,0.0
P00528,postgresA,1.436,P00176,0.0
P00529,postgresC,2.606,P00176,0.0
P00530,postgresC,7.614,P00177,0.0
P00531,postgresC,4.837,P00177,0.0
P00532,postgresC,2.176,P00177,0.0
P00533,postgresC,2.32,P00178,0.0
P00534,postgresB,5.533,P00178,0.0
P00535,postgresC,6.557,P00178,0.0
P00536,postgresC,0.107,P00179,0.0
P00537,postgresC,3.796,P00179,0.0
P00538,postgresA,3.038,P00179,0.0
P00539,postgresB,0.285,P00180,0.0
P00540,postgresB,8.957,P00180,0.0
P00541,postgresA,5.115,P00180,0.0
P00542,postgresA,1.539,P00181,0.0
P00543,postgresB,7.569,P00181,0.0
P00544,postgresB,6.814,P00181,0.0
P00545,postgresB,3.069,P00182,0.0
P00546,postgresA,2.498,P00182,0.0
P00547,postgresC,2.426,P00182,0.0
P00548,postgresB,1.164,P00183,0.0
P00549,postgresC,4.2,P00183,0.0
P00550,postgresC,9.057,P00183,0.0
P00551,postgresA,2.408,P00184,0.0
P00552,postgresB,3.074,P00184,0.0
P00553,postgresB,2.468,P00184,0.0
P00554,postgresC,8.204,P00185,0.0
P00555,postgresB,0.983,P00185,0.0
P00556,postgresB,4.765,P00185,0.0
P00557,postgresA,5.029,P00186,0.0
P00558,postgresB,5.579,P00186,0.0
P00559,postgresC,7.692,P00186,0.0
P00560,postgresB,7.689,P00187,0.0
P00561,postgresB,4.34,P00187,0.0
P00562,postgresA,9.196,P00187,0.0
P00563,postgresA,7.623,P00188,0.0
P00564,postgresA,9.759,P00188,0.0
P00565,postgresC,1.592,P00188,0.0
P00566,postgresB,4.664,P00189,0.0
P00567,postgresC,9.438,P00189,0.0
P00568,postgresB,5.879,P00189,0.0
P00569,postgresA,8.96,P00190,0.0
P00570,postgresB,9.662,P00190,0.0
P00571,postgresB,0.666,P00190,0.0
P00572,postgresB,4.194,P00191,0.0
P00573,postgresB,7.741,P00191,0.0
P00574,postgresB,6.523,P00191,0.0
P00575,postgresC,4.982,P00192,0.0
P00576,postgresC,8.63,P00192,0.0
P00577,postgresB,6.698,P00192,0.0
P00578,postgresA,2.255,P00193,0.0
P00579,postgresA,6.632,P00193,0.0
P00580,postgresC,3.183,P00193,0.0
P00581,postgresC,4.285,P00194,0.0
P00582,postgresA,9.128,P00194,0.0
P00583,postgresB,9.904,P00194,0.0
P00584,postgresB,0.012,P00195,0.0
P00585,postgresA,3.592,P00195,0.0
P00586,postgresA,7.916,P00195,0.0
P00587,postgresA,2.68,P00196,0.0
P00588,postgresB,7.787,P00196,0.0
P00589,postgresB,6.256,P00196,0.0
P00590,postgresC,1.003,P00197,0.0
P00591,postgresC,5.604,P00197,0.0
P00592,postgresB,2.973,P00197,0.0
P00593,postgresC,3.79,P00198,0.0
P00594,postgresB,4.327,P00198,0.0
P00595,postgresB,9.041,P00198,0.0
P00596,postgresC,1.523,P00199,0.0
P00597,postgresB,7.951,P00199,0.0
P00598,postgresC,0.719,P00199,0.0
P00599,postgresB,8.059,P00200,0.0
P00600,postgresC,5.158,P00200,0.0
P00601,postgresC,8.799,P00200,0.0
P00602,postgresA,2.57,P00201,0.0
P00603,postgresB,2.681,P00201,0.0
P00604,postgresB,8.774,P00201,0.0
P00605,postgresB,9.729,P00202,0.0
P00606,postgresB,1.467,P00202,0.0
P00607,postgresC,1.495,P00202,0.0
P00608,postgresB,1.228,P00203,0.0
P00609,postgresA,0.045,P00203,0.0
P00610,postgresC,8.679,P00203,0.0
P00611,postgresC,7.305,P00204,0.0
P00612,postgresB,3.784,P00204,0.0
P00613,postgresC,2.71,P00204,0.0
P00614,postgresC,4.204,P00205,0.0
P00615,postgresC,2.766,P00205,0.0
P00616,postgresC,0.598,P00205,0.0
P00617,postgresA,1.858,P00206,0.0
P00618,postgresA,5.829,P00206,0.0
P00619,postgresC,7.122,P00206,0.0
P00620,postgresB,4.539,P00207,0.0
P00621,postgresA,9.675,P00207,0.0
P00622,postgresC,5.313,P00207,0.0
P00623,postgresA,1.773,P00208,0.0
P00624,postgresB,0.508,P00208,0.0
P00625,postgresC,8.513,P00208,0.0
P00626,postgresB,4.426,P00209,0.0
P00627,postgresA,9.294,P00209,0.0
P00628,postgresB,8.589,P00209,0.0
P00629,postgresA,0.651,P00210,0.0
P00630,postgresA,6.857,P00210,0.0
P00631,postgresA,2.173,P00210,0.0
P00632,postgresA,2.955,P00211,0.0
P00633,postgresC,1.399,P00211,0.0
P00634,postgresA,1.07,P00211,0.0
P00635,postgresB,7.526,P00212,0.0
P00636,postgresB,5.918,P00212,0.0
P00637,postgresC,3.777,P00212,0.0
P00638,postgresC,8.978,P00213,0.0
P00639,postgresC,6.542,P00213,0.0
P00640,postgresC,0.081,P00213,0.0
P00641,postgresC,9.874,P00214,0.0
P00642,postgresB,5.971,P00214,0.0
P00643,postgresC,8.649,P00214,0.0
P00644,postgresB,7.616,P00215,0.0
P00645,postgresB,3.735,P00215,0.0
P00646,postgresC,3.133,P00215,0.0
P00647,postgresB,2.455,P00216,0.0
P00648,postgresB,9.392,P00216,0.0
P00649,postgresC,5.601,P00216,0.0
P00650,postgresB,8.274,P00217,0.0
P00651,postgresB,5.149,P00217,0.0
P00652,postgresA,2.569,P00217,0.0
P00653,postgresB,3.723,P00218,0.0
P00654,postgresB,6.571,P00218,0.0
P00655,postgresB,2.059,P00218,0.0
P00656,postgresA,6.178,P00219,0.0
P00657,postgresA,9.207,P00219,0.0
P00658,postgresC,2.377,P00219,0.0
P00659,postgresB,1.535,P00220,0.0
P00660,postgresC,1.579,P00220,0.0
P00661,postgresA,5.632,P00220,0.0
P00662,postgresA,2.415,P00221,0.0
P00663,postgresB,2.028,P00221,0.0
P00664,postgresB,1.664,P00221,0.0
