partsid,datalink,totalcfp,cfp,parents_partsid
P00117,postgresC,0.0,6.329,P00039
P00118,postgresB,0.0,1.497,P00039
P00119,postgresA,0.0,2.133,P00040
P00120,postgresC,0.0,8.096,P00040
P00121,postgresB,0.0,1.19,P00040
P00122,postgresC,0.0,1.758,P00041
P00123,postgresB,0.0,1.096,P00041
P00124,postgresB,0.0,6.566,P00041
P00125,postgresC,0.0,3.856,P00042
P00126,postgresB,0.0,1.758,P00042
P00127,postgresA,0.0,3.576,P00042
P00128,postgresB,0.0,6.542,P00043
P00129,postgresC,0.0,5.095,P00043
P00130,postgresA,0.0,9.366,P00043
P00131,postgresA,0.0,9.877,P00044
P00132,postgresA,0.0,3.4,P00044
P00133,postgresB,0.0,3.701,P00044
P00134,postgresC,0.0,0.502,P00045
P00135,postgresC,0.0,2.339,P00045
P00136,postgresA,0.0,0.384,P00045
P00137,postgresC,0.0,1.232,P00046
P00138,postgresA,0.0,4.567,P00046
P00139,postgresC,0.0,4.459,P00046
P00140,postgresA,0.0,0.389,P00047
P00141,postgresC,0.0,0.919,P00047
P00142,postgresA,0.0,2.333,P00047
P00143,postgresA,0.0,9.452,P00048
P00144,postgresC,0.0,3.617,P00048
P00145,postgresA,0.0,1.59,P00048
P00146,postgresA,0.0,9.168,P00049
P00147,postgresB,0.0,5.7,P00049
P00148,postgresA,0.0,6.803,P00049
P00149,postgresA,0.0,2.341,P00050
P00150,postgresC,0.0,7.186,P00050
P00151,postgresC,0.0,5.493,P00050
P00152,postgresB,0.0,3.559,P00051
P00153,postgresB,0.0,8.095,P00051
P00154,postgresC,0.0,4.542,P00051
P00155,postgresB,0.0,0.401,P00052
P00156,postgresB,0.0,0.696,P00052
P00157,postgresC,0.0,2.854,P00052
P00158,postgresA,0.0,7.66,P00053
P00159,postgresB,0.0,2.865,P00053
P00160,postgresB,0.0,4.518,P00053
P00161,postgresA,0.0,8.258,P00054
P00162,postgresC,0.0,1.73,P00054
P00163,postgresB,0.0,7.598,P00054
P00164,postgresB,0.0,2.943,P00055
P00165,postgresB,0.0,6.613,P00055
P00166,postgresC,0.0,0.246,P00055
P00167,postgresC,0.0,6.731,P00056
P00168,postgresB,0.0,4.356,P00056
P00169,postgresB,0.0,8.251,P00056
P00170,postgresC,0.0,5.249,P00057
P00171,postgresB,0.0,5.514,P00057
P00172,postgresB,0.0,0.823,P00057
P00173,postgresC,0.0,2.839,P00058
P00174,postgresB,0.0,5.793,P00058
P00175,postgresA,0.0,7.26,P00058
P00176,postgresC,0.0,8.351,P00059
P00177,postgresA,0.0,6.783,P00059
P00178,postgresB,0.0,5.959,P00059
P00179,postgresB,0.0,0.257,P00060
P00180,postgresB,0.0,5.364,P00060
P00181,postgresB,0.0,7.548,P00060
P00182,postgresC,0.0,1.936,P00061
P00183,postgresB,0.0,9.862,P00061
P00184,postgresC,0.0,6.929,P00061
P00185,postgresC,0.0,8.821,P00062
P00186,postgresB,0.0,4.486,P00062
P00187,postgresC,0.0,7.138,P00062
P00188,postgresA,0.0,6.166,P00063
P00189,postgresA,0.0,3.118,P00063
P00190,postgresC,0.0,3.163,P00063
P00191,postgresB,0.0,3.575,P00064
P00192,postgresC,0.0,6.211,P00064
P00193,postgresC,0.0,6.291,P00064
P00194,postgresB,0.0,6.464,P00065
P00195,postgresA,0.0,6.776,P00065
P00196,postgresB,0.0,9.779,P00065
P00197,postgresC,0.0,3.468,P00066
P00198,postgresB,0.0,5.42,P00066
P00199,postgresA,0.0,4.795,P00066
P00200,postgresA,0.0,8.625,P00067
P00201,postgresA,0.0,3.391,P00067
P00202,postgresC,0.0,3.501,P00067
P00203,postgresB,0.0,2.709,P00068
P00204,postgresC,0.0,8.944,P00068
P00205,postgresA,0.0,6.271,P00068
P00206,postgresA,0.0,0.395,P00069
P00207,postgresB,0.0,5.887,P00069
P00208,postgresA,0.0,4.979,P00069
P00209,postgresC,0.0,3.418,P00070
P00210,postgresA,0.0,6.559,P00070
P00211,postgresA,0.0,8.665,P00070
P00212,postgresC,0.0,6.932,P00071
P00213,postgresA,0.0,2.813,P00071
P00214,postgresB,0.0,4.302,P00071
P00215,postgresC,0.0,9.109,P00072
P00216,postgresB,0.0,7.676,P00072
P00217,postgresB,0.0,4.32,P00072
P00218,postgresB,0.0,7.163,P00073
P00219,postgresB,0.0,0.792,P00073
P00220,postgresA,0.0,5.242,P00073
P00221,postgresA,0.0,3.047,P00074
P00222,postgresA,0.0,4.208,P00074
P00223,postgresA,0.0,0.011,P00074
P00224,postgresA,0.0,5.808,P00075
P00225,postgresA,0.0,9.933,P00075
P00226,postgresC,0.0,6.869,P00075
P00227,postgresA,0.0,1.746,P00076
P00228,postgresC,0.0,0.685,P00076
P00229,postgresC,0.0,6.701,P00076
P00230,postgresA,0.0,7.73,P00077
P00231,postgresC,0.0,0.532,P00077
P00232,postgresA,0.0,4.219,P00077
P00233,postgresA,0.0,9.088,P00078
P00234,postgresC,0.0,8.284,P00078
P00235,postgresB,0.0,7.662,P00078
P00236,postgresB,0.0,0.889,P00079
P00237,postgresB,0.0,7.021,P00079
P00238,postgresB,0.0,7.587,P00079
P00239,postgresC,0.0,7.055,P00080
P00240,postgresC,0.0,8.235,P00080
P00241,postgresC,0.0,3.168,P00080
P00242,postgresC,0.0,2.201,P00081
P00243,postgresA,0.0,5.529,P00081
P00244,postgresB,0.0,5.423,P00081
P00245,postgresA,0.0,0.774,P00082
P00246,postgresB,0.0,2.564,P00082
P00247,postgresC,0.0,6.917,P00082
P00248,postgresA,0.0,3.661,P00083
P00249,postgresA,0.0,4.528,P00083
P00250,postgresB,0.0,2.382,P00083
P00251,postgresA,0.0,3.969,P00084
P00252,postgresA,0.0,3.038,P00084
P00253,postgresB,0.0,2.167,P00084
P00254,postgresC,0.0,5.77,P00085
P00255,postgresB,0.0,3.059,P00085
P00256,postgresA,0.0,4.524,P00085
P00257,postgresA,0.0,7.291,P00086
P00258,postgresA,0.0,2.554,P00086
P00259,postgresA,0.0,5.712,P00086
P00260,postgresB,0.0,2.472,P00087
P00261,postgresB,0.0,5.727,P00087
P00262,postgresA,0.0,2.896,P00087
P00263,postgresB,0.0,5.598,P00088
P00264,postgresB,0.0,6.933,P00088
P00265,postgresC,0.0,4.965,P00088
P00266,postgresA,0.0,9.38,P00089
P00267,postgresC,0.0,4.83,P00089
P00268,postgresB,0.0,5.057,P00089
P00269,postgresA,0.0,2.201,P00090
P00270,postgresC,0.0,9.296,P00090
P00271,postgresC,0.0,0.811,P00090
P00272,postgresB,0.0,3.457,P00091
P00273,postgresB,0.0,9.806,P00091
P00274,postgresC,0.0,8.568,P00091
P00275,postgresA,0.0,0.207,P00092
P00276,postgresC,0.0,0.727,P00092
P00277,postgresA,0.0,6.814,P00092
P00278,postgresC,0.0,9.719,P00093
P00279,postgresA,0.0,5.362,P00093
P00280,postgresB,0.0,7.042,P00093
P00281,postgresC,0.0,3.382,P00094
P00282,postgresC,0.0,4.048,P00094
P00283,postgresC,0.0,8.915,P00094
P00284,postgresB,0.0,0.959,P00095
P00285,postgresB,0.0,3.796,P00095
P00286,postgresB,0.0,3.547,P00095
P00287,postgresA,0.0,4.008,P00096
P00288,postgresA,0.0,9.466,P00096
P00289,postgresC,0.0,7.423,P00096
P00290,postgresA,0.0,7.993,P00097
P00291,postgresA,0.0,5.227,P00097
P00292,postgresB,0.0,5.954,P00097
P00293,postgresC,0.0,6.865,P00098
P00294,postgresC,0.0,4.362,P00098
P00295,postgresC,0.0,5.036,P00098
P00296,postgresA,0.0,7.463,P00099
P00297,postgresC,0.0,3.437,P00099
P00298,postgresB,0.0,2.025,P00099
P00299,postgresA,0.0,3.649,P00100
P00300,postgresB,0.0,7.417,P00100
P00301,postgresA,0.0,3.311,P00100
P00302,postgresC,0.0,1.155,P00101
P00303,postgresB,0.0,1.241,P00101
P00304,postgresA,0.0,1.818,P00101
P00305,postgresB,0.0,7.986,P00102
P00306,postgresB,0.0,1.233,P00102
P00307,postgresB,0.0,5.791,P00102
P00308,postgresA,0.0,8.504,P00103
P00309,postgresC,0.0,9.186,P00103
P00310,postgresB,0.0,5.268,P00103
P00311,postgresB,0.0,6.824,P00104
P00312,postgresC,0.0,3.896,P00104
P00313,postgresB,0.0,3.32,P00104
P00314,postgresC,0.0,0.33,P00105
P00315,postgresA,0.0,7.199,P00105
P00316,postgresB,0.0,1.667,P00105
P00317,postgresB,0.0,1.691,P00106
P00318,postgresB,0.0,8.436,P00106
P00319,postgresC,0.0,1.257,P00106
P00320,postgresC,0.0,5.218,P00107
P00321,postgresC,0.0,5.746,P00107
P00322,postgresA,0.0,0.267,P00107
P00323,postgresC,0.0,3.944,P00108
P00324,postgresA,0.0,9.463,P00108
P00325,postgresA,0.0,3.619,P00108
P00326,postgresB,0.0,3.498,P00109
P00327,postgresC,0.0,2.046,P00109
P00328,postgresC,0.0,8.839,P00109
P00329,postgresC,0.0,7.819,P00110
P00330,postgresA,0.0,2.253,P00110
P00331,postgresC,0.0,7.922,P00110
P00332,postgresC,0.0,4.67,P00111
P00333,postgresB,0.0,1.575,P00111
P00334,postgresA,0.0,0.929,P00111
P00335,postgresC,0.0,4.461,P00112
P00336,postgresB,0.0,6.269,P00112
P00337,postgresB,0.0,6.239,P00112
P00338,postgresC,0.0,8.969,P00113
P00339,postgresC,0.0,6.421,P00113
P00340,postgresA,0.0,0.094,P00113
P00341,postgresC,0.0,4.806,P00114
P00342,postgresC,0.0,1.779,P00114
P00343,postgresB,0.0,4.861,P00114
P00344,postgresB,0.0,1.18,P00115
P00345,postgresA,0.0,5.443,P00115
P00346,postgresC,0.0,1.268,P00115
P00347,postgresC,0.0,2.347,P00116
P00348,postgresB,0.0,9.476,P00116
P00349,postgresA,0.0,4.388,P00116
P00350,postgresA,0.0,8.597,P00117
P00351,postgresB,0.0,6.326,P00117
P00352,postgresA,0.0,1.29,P00117
P00353,postgresC,0.0,3.649,P00118
P00354,postgresC,0.0,7.3,P00118
P00355,postgresB,0.0,3.535,P00118
P00356,postgresB,0.0,3.334,P00119
P00357,postgresA,0.0,7.445,P00119
P00358,postgresA,0.0,6.134,P00119
P00359,postgresA,0.0,5.493,P00120
P00360,postgresB,0.0,9.779,P00120
P00361,postgresA,0.0,4.892,P00120
P00362,postgresA,0.0,5.854,P00121
P00363,postgresB,0.0,8.654,P00121
P00364,postgresC,0.0,8.059,P00121
P00365,postgresB,0.0,1.552,P00122
P00366,postgresA,0.0,8.95,P00122
P00367,postgresB,0.0,5.022,P00122
P00368,postgresC,0.0,4.195,P00123
P00369,postgresC,0.0,9.432,P00123
P00370,postgresA,0.0,2.666,P00123
P00371,postgresA,0.0,9.733,P00124
P00372,postgresC,0.0,5.498,P00124
P00373,postgresA,0.0,6.622,P00124
P00374,postgresB,0.0,4.399,P00125
P00375,postgresC,0.0,9.231,P00125
P00376,postgresC,0.0,2.715,P00125
P00377,postgresB,0.0,8.821,P00126
P00378,postgresA,0.0,7.99,P00126
P00379,postgresA,0.0,6.162,P00126
P00380,postgresC,0.0,6.93,P00127
P00381,postgresA,0.0,3.934,P00127
P00382,postgresA,0.0,5.118,P00127
P00383,postgresC,0.0,4.561,P00128
P00384,postgresB,0.0,1.79,P00128
P00385,postgresA,0.0,9.422,P00128
P00386,postgresB,0.0,3.192,P00129
P00387,postgresB,0.0,5.153,P00129
P00388,postgresB,0.0,8.257,P00129
P00389,postgresA,0.0,0.865,P00130
P00390,postgresA,0.0,1.0,P00130
P00391,postgresC,0.0,2.355,P00130
P00392,postgresB,0.0,2.945,P00131
P00393,postgresC,0.0,6.811,P00131
P00394,postgresC,0.0,1.772,P00131
P00395,postgresA,0.0,4.715,P00132
P00396,postgresA,0.0,2.734,P00132
P00397,postgresB,0.0,8.147,P00132
P00398,postgresA,0.0,5.691,P00133
P00399,postgresA,0.0,6.182,P00133
P00400,postgresB,0.0,0.282,P00133
P00401,postgresA,0.0,6.197,P00134
P00402,postgresC,0.0,9.516,P00134
P00403,postgresC,0.0,5.817,P00134
P00404,postgresA,0.0,2.961,P00135
P00405,postgresB,0.0,1.647,P00135
P00406,postgresA,0.0,5.812,P00135
P00407,postgresC,0.0,1.276,P00136
P00408,postgresA,0.0,8.192,P00136
P00409,postgresA,0.0,2.617,P00136
P00410,postgresC,0.0,6.23,P00137
P00411,postgresB,0.0,1.72,P00137
P00412,postgresC,0.0,5.008,P00137
P00413,postgresC,0.0,2.452,P00138
P00414,postgresC,0.0,7.223,P00138
P00415,postgresC,0.0,0.301,P00138
P00416,postgresA,0.0,9.124,P00139
P00417,postgresA,0.0,2.39,P00139
P00418,postgresA,0.0,0.016,P00139
P00419,postgresC,0.0,9.514,P00140
P00420,postgresC,0.0,3.648,P00140
P00421,postgresB,0.0,0.751,P00140
P00422,postgresC,0.0,7.781,P00141
P00423,postgresA,0.0,1.758,P00141
P00424,postgresB,0.0,7.071,P00141
P00425,postgresA,0.0,5.817,P00142
P00426,postgresA,0.0,8.006,P00142
P00427,postgresA,0.0,9.85,P00142
P00428,postgresB,0.0,4.604,P00143
P00429,postgresC,0.0,7.516,P00143
P00430,postgresA,0.0,1.629,P00143
P00431,postgresA,0.0,6.445,P00144
P00432,postgresB,0.0,8.738,P00144
P00433,postgresB,0.0,9.296,P00144
P00434,postgresB,0.0,7.334,P00145
P00435,postgresC,0.0,7.366,P00145
P00436,postgresA,0.0,9.959,P00145
P00437,postgresC,0.0,2.376,P00146
P00438,postgresC,0.0,4.295,P00146
P00439,postgresA,0.0,5.393,P00146
P00440,postgresC,0.0,4.867,P00147
P00441,postgresC,0.0,8.042,P00147
P00442,postgresA,0.0,0.845,P00147
P00443,postgresC,0.0,5.021,P00148
P00444,postgresA,0.0,8.893,P00148
P00445,postgresC,0.0,3.775,P00148
P00446,postgresC,0.0,9.34,P00149
P00447,postgresB,0.0,3.313,P00149
P00448,postgresC,0.0,0.459,P00149
P00449,postgresC,0.0,6.823,P00150
P00450,postgresB,0.0,8.915,P00150
P00451,postgresB,0.0,6.403,P00150
P00452,postgresB,0.0,3.265,P00151
P00453,postgresC,0.0,7.298,P00151
P00454,postgresA,0.0,3.131,P00151
P00455,postgresA,0.0,6.988,P00152
P00456,postgresB,0.0,8.565,P00152
P00457,postgresB,0.0,8.937,P00152
P00458,postgresA,0.0,6.122,P00153
P00459,postgresB,0.0,0.931,P00153
P00460,postgresA,0.0,4.614,P00153
P00461,postgresA,0.0,0.765,P00154
P00462,postgresC,0.0,1.352,P00154
P00463,postgresC,0.0,2.827,P00154
P00464,postgresB,0.0,6.04,P00155
P00465,postgresA,0.0,1.551,P00155
P00466,postgresA,0.0,2.592,P00155
P00467,postgresA,0.0,9.17,P00156
P00468,postgresA,0.0,2.064,P00156
P00469,postgresC,0.0,2.555,P00156
P00470,postgresA,0.0,8.143,P00157
P00471,postgresA,0.0,9.645,P00157
P00472,postgresA,0.0,6.408,P00157
P00473,postgresB,0.0,0.441,P00158
P00474,postgresB,0.0,6.256,P00158
P00475,postgresA,0.0,1.152,P00158
P00476,postgresC,0.0,1.512,P00159
P00477,postgresC,0.0,6.849,P00159
P00478,postgresA,0.0,5.135,P00159
P00479,postgresA,0.0,9.619,P00160
P00480,postgresA,0.0,4.743,P00160
P00481,postgresC,0.0,7.858,P00160
P00482,postgresB,0.0,4.148,P00161
P00483,postgresB,0.0,8.316,P00161
P00484,postgresB,0.0,6.904,P00161
P00485,postgresA,0.0,8.367,P00162
P00486,postgresA,0.0,1.876,P00162
P00487,postgresA,0.0,0.056,P00162
P00488,postgresB,0.0,5.947,P00163
P00489,postgresB,0.0,2.611,P00163
P00490,postgresA,0.0,4.508,P00163
P00491,postgresC,0.0,3.3,P00164
P00492,postgresA,0.0,2.288,P00164
P00493,postgresB,0.0,2.813,P00164
P00494,postgresB,0.0,2.835,P00165
P00495,postgresA,0.0,2.021,P00165
P00496,postgresA,0.0,1.006,P00165
P00497,postgresB,0.0,1.999,P00166
P00498,postgresA,0.0,8.978,P00166
P00499,postgresC,0.0,3.343,P00166
P00500,postgresC,0.0,2.692,P00167
P00501,postgresC,0.0,2.203,P00167
P00502,postgresA,0.0,7.057,P00167
P00503,postgresC,0.0,9.563,P00168
P00504,postgresC,0.0,6.439,P00168
P00505,postgresC,0.0,4.151,P00168
P00506,postgresB,0.0,8.611,P00169
P00507,postgresC,0.0,5.24,P00169
P00508,postgresB,0.0,1.227,P00169
P00509,postgresC,0.0,5.422,P00170
P00510,postgresB,0.0,7.378,P00170
P00511,postgresA,0.0,8.382,P00170
P00512,postgresC,0.0,5.367,P00171
P00513,postgresC,0.0,0.438,P00171
P00514,postgresA,0.0,6.062,P00171
P00515,postgresB,0.0,8.741,P00172
P00516,postgresC,0.0,6.074,P00172
P00517,postgresC,0.0,2.148,P00172
P00518,postgresC,0.0,4.486,P00173
P00519,postgresA,0.0,6.406,P00173
P00520,postgresC,0.0,0.829,P00173
P00521,postgresB,0.0,0.475,P00174
P00522,postgresC,0.0,8.072,P00174
P00523,postgresC,0.0,4.594,P00174
P00524,postgresB,0.0,9.6,P00175
P00525,postgresA,0.0,0.17,P00175
P00526,postgresB,0.0,0.411,P00175
P00527,postgresA,0.0,5.484,P00176
P00528,postgresA,0.0,1.436,P00176
P00529,postgresC,0.0,2.606,P00176
P00530,postgresC,0.0,7.614,P00177
P00531,postgresC,0.0,4.837,P00177
P00532,postgresC,0.0,2.176,P00177
P00533,postgresC,0.0,2.32,P00178
P00534,postgresB,0.0,5.533,P00178
P00535,postgresC,0.0,6.557,P00178
P00536,postgresC,0.0,0.107,P00179
P00537,postgresC,0.0,3.796,P00179
P00538,postgresA,0.0,3.038,P00179
P00539,postgresB,0.0,0.285,P00180
P00540,postgresB,0.0,8.957,P00180
P00541,postgresA,0.0,5.115,P00180
P00542,postgresA,0.0,1.539,P00181
P00543,postgresB,0.0,7.569,P00181
P00544,postgresB,0.0,6.814,P00181
P00545,postgresB,0.0,3.069,P00182
P00546,postgresA,0.0,2.498,P00182
P00547,postgresC,0.0,2.426,P00182
P00548,postgresB,0.0,1.164,P00183
P00549,postgresC,0.0,4.2,P00183
P00550,postgresC,0.0,9.057,P00183
P00551,postgresA,0.0,2.408,P00184
P00552,postgresB,0.0,3.074,P00184
P00553,postgresB,0.0,2.468,P00184
P00554,postgresC,0.0,8.204,P00185
P00555,postgresB,0.0,0.983,P00185
P00556,postgresB,0.0,4.765,P00185
P00557,postgresA,0.0,5.029,P00186
P00558,postgresB,0.0,5.579,P00186
P00559,postgresC,0.0,7.692,P00186
P00560,postgresB,0.0,7.689,P00187
P00561,postgresB,0.0,4.34,P00187
P00562,postgresA,0.0,9.196,P00187
P00563,postgresA,0.0,7.623,P00188
P00564,postgresA,0.0,9.759,P00188
P00565,postgresC,0.0,1.592,P00188
P00566,postgresB,0.0,4.664,P00189
P00567,postgresC,0.0,9.438,P00189
P00568,postgresB,0.0,5.879,P00189
P00569,postgresA,0.0,8.96,P00190
P00570,postgresB,0.0,9.662,P00190
P00571,postgresB,0.0,0.666,P00190
P00572,postgresB,0.0,4.194,P00191
P00573,postgresB,0.0,7.741,P00191
P00574,postgresB,0.0,6.523,P00191
P00575,postgresC,0.0,4.982,P00192
P00576,postgresC,0.0,8.63,P00192
P00577,postgresB,0.0,6.698,P00192
P00578,postgresA,0.0,2.255,P00193
P00579,postgresA,0.0,6.632,P00193
P00580,postgresC,0.0,3.183,P00193
P00581,postgresC,0.0,4.285,P00194
P00582,postgresA,0.0,9.128,P00194
P00583,postgresB,0.0,9.904,P00194
P00584,postgresB,0.0,0.012,P00195
P00585,postgresA,0.0,3.592,P00195
P00586,postgresA,0.0,7.916,P00195
P00587,postgresA,0.0,2.68,P00196
P00588,postgresB,0.0,7.787,P00196
P00589,postgresB,0.0,6.256,P00196
P00590,postgresC,0.0,1.003,P00197
P00591,postgresC,0.0,5.604,P00197
P00592,postgresB,0.0,2.973,P00197
P00593,postgresC,0.0,3.79,P00198
P00594,postgresB,0.0,4.327,P00198
P00595,postgresB,0.0,9.041,P00198
P00596,postgresC,0.0,1.523,P00199
P00597,postgresB,0.0,7.951,P00199
P00598,postgresC,0.0,0.719,P00199
P00599,postgresB,0.0,8.059,P00200
P00600,postgresC,0.0,5.158,P00200
P00601,postgresC,0.0,8.799,P00200
P00602,postgresA,0.0,2.57,P00201
P00603,postgresB,0.0,2.681,P00201
P00604,postgresB,0.0,8.774,P00201
P00605,postgresB,0.0,9.729,P00202
P00606,postgresB,0.0,1.467,P00202
P00607,postgresC,0.0,1.495,P00202
P00608,postgresB,0.0,1.228,P00203
P00609,postgresA,0.0,0.045,P00203
P00610,postgresC,0.0,8.679,P00203
P00611,postgresC,0.0,7.305,P00204
P00612,postgresB,0.0,3.784,P00204
P00613,postgresC,0.0,2.71,P00204
P00614,postgresC,0.0,4.204,P00205
P00615,postgresC,0.0,2.766,P00205
P00616,postgresC,0.0,0.598,P00205
P00617,postgresA,0.0,1.858,P00206
P00618,postgresA,0.0,5.829,P00206
P00619,postgresC,0.0,7.122,P00206
P00620,postgresB,0.0,4.539,P00207
P00621,postgresA,0.0,9.675,P00207
P00622,postgresC,0.0,5.313,P00207
P00623,postgresA,0.0,1.773,P00208
P00624,postgresB,0.0,0.508,P00208
P00625,postgresC,0.0,8.513,P00208
P00626,postgresB,0.0,4.426,P00209
P00627,postgresA,0.0,9.294,P00209
P00628,postgresB,0.0,8.589,P00209
P00629,postgresA,0.0,0.651,P00210
P00630,postgresA,0.0,6.857,P00210
P00631,postgresA,0.0,2.173,P00210
P00632,postgresA,0.0,2.955,P00211
P00633,postgresC,0.0,1.399,P00211
P00634,postgresA,0.0,1.07,P00211
P00635,postgresB,0.0,7.526,P00212
P00636,postgresB,0.0,5.918,P00212
P00637,postgresC,0.0,3.777,P00212
P00638,postgresC,0.0,8.978,P00213
P00639,postgresC,0.0,6.542,P00213
P00640,postgresC,0.0,0.081,P00213
P00641,postgresC,0.0,9.874,P00214
P00642,postgresB,0.0,5.971,P00214
P00643,postgresC,0.0,8.649,P00214
P00644,postgresB,0.0,7.616,P00215
P00645,postgresB,0.0,3.735,P00215
P00646,postgresC,0.0,3.133,P00215
P00647,postgresB,0.0,2.455,P00216
P00648,postgresB,0.0,9.392,P00216
P00649,postgresC,0.0,5.601,P00216
P00650,postgresB,0.0,8.274,P00217
P00651,postgresB,0.0,5.149,P00217
P00652,postgresA,0.0,2.569,P00217
P00653,postgresB,0.0,3.723,P00218
P00654,postgresB,0.0,6.571,P00218
P00655,postgresB,0.0,2.059,P00218
P00656,postgresA,0.0,6.178,P00219
P00657,postgresA,0.0,9.207,P00219
P00658,postgresC,0.0,2.377,P00219
P00659,postgresB,0.0,1.535,P00220
P00660,postgresC,0.0,1.579,P00220
P00661,postgresA,0.0,5.632,P00220
P00662,postgresA,0.0,2.415,P00221
P00663,postgresB,0.0,2.028,P00221
P00664,postgresB,0.0,1.664,P00221
